EruptOrder,Volumeskm3,Areaskm3,Formation,NumFlows,Ages
1,999999,999999,0,999999.0,999999.0
2,18600,53000,0,116.98113207547169,16.9
3,13200,33000,0,83.01886792452831,16.65
4,11000,60000,1,8.0,16.57
5,999999,999999,1,6.0,999999.0
6,999999,999999,1,6.0,999999.0
7,999999,999999,1,6.0,999999.0
8,5304,53000,2,6.0,16.51
9,1900,246000,2,3.0,999999.0
10,7600,61200,2,7.0,999999.0
11,6400,65200,2,5.0,999999.0
12,4000,55700,2,3.0,999999.0
13,5250,58000,2,5.0,999999.0
14,999999,999999,2,999999.0,16.42
15,999999,999999,2,999999.0,999999.0
16,7500,86000,2,7.0,999999.0
17,4800,63000,2,4.0,999999.0
18,6100,64000,2,3.0,999999.0
19,4700,58800,2,6.0,999999.0
20,5275,63000,2,3.0,999999.0
21,8150,90000,2,4.0,16.28
22,40350,149050,2,18.0,16.25
23,7050,114600,2,4.0,999999.0
24,580,8300,2,5.0,999999.0
25,310,8200,2,1.0,999999.0
26,990,19400,2,3.0,999999.0
27,13800,83650,2,7.0,16.2
28,800,14900,2,4.0,999999.0
29,290,4600,2,999999.0,999999.0
30,7800,86500,2,2.0,999999.0
31,10150,167700,2,4.0,16.07
32,2400,10680,3,15.0,999999.0
33,335,9300,4,61.0,999999.0
34,7600,76200,4,6.0,999999.0
35,999999,999999,4,23.0,999999.0
36,1300,40350,4,5.0,15.89
37,2800,57300,4,4.0,999999.0
38,720,15110,5,2.0,14.6
39,70,3096,5,1.0,999999.0
40,216,6435,5,1.0,13.24
41,20,1210,5,4.0,999999.0
42,70,2710,5,1.0,999999.0
43,600,20550,5,1.0,11.1
44,165,2200,5,1.0,999999.0
45,3,140,5,1.0,999999.0
46,6,280,5,1.0,999999.0
47,440,13450,5,1.0,10.18
48,20,580,5,1.0,999999.0
49,75,2150,5,4.0,8.8
50,15,430,5,1.0,6.2
51,999999,999999,7,999999.0,999999.0
52,999999,999999,7,999999.0,999999.0
53,999999,999999,7,999999.0,999999.0
54,999999,999999,7,999999.0,999999.0
55,999999,999999,7,999999.0,999999.0
56,999999,999999,7,999999.0,999999.0
