SiO2,TiO2,Al2O3,FeO*,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Ga,Cu,Zn,Pb,La,Ce,Th,U,Formation,Member,MemberID,Source,FormationID,Polarity
48.96,1.76,15.33,nan,7.6,3.9,0.18,7.39,10.26,2.82,0.46,0.21,179,193,27.52,292,372,11,367,123,23,7,19,132,85,2.01,9.3,23.15,0.93,0.34,Steens,LowerSteens,0,Day2021,1,0
48.6,1.82,15.18,nan,8,3.4,0.19,7.64,10.54,2.79,0.43,0.22,179,188,27.77,293,279,9,354,121,24,7,19,148,83,2.06,9.25,23.01,0.95,0.27,Steens,LowerSteens,0,Day2021,1,0
48.37,2.22,15.32,nan,6.3,6.9,0.19,7.03,9.5,2.82,0.53,0.32,160,180,28.82,337,258,6,407,154,28,10,21,171,95,2.66,13.91,33.47,1.16,0.37,Steens,LowerSteens,0,Day2021,1,0
48.63,2.12,15.31,nan,6.4,6.1,0.19,7.35,9.34,2.73,0.5,0.3,162,181,27.51,313,258,4,403,145,26,10,21,128,93,2.48,13.04,31.41,1.05,0.35,Steens,LowerSteens,0,Day2021,1,0
49.5,2.16,14.61,nan,6.9,5.7,0.17,6.55,9.75,2.95,0.81,0.29,93,113,31.74,354,226,36,397,146,28,10,21,200,94,3.04,12.44,30.75,1.24,0.41,Steens,LowerSteens,0,Day2021,1,0
49.62,1.88,16.08,nan,5.1,6.5,0.2,4.91,11.44,2.9,0.42,0.25,104,123,27,319,189,6,458,127,28,8,20,163,93,nan,10,24,nan,nan,Steens,LowerSteens,0,Day2021,1,0
48.43,1.92,14.65,nan,8.2,3.9,0.19,7.79,9.71,2.98,0.63,0.27,137,142,28.69,320,212,10,405,134,26,9,20,145,89,2.76,11.7,28.79,1.17,0.39,Steens,LowerSteens,0,Day2021,1,0
48.65,1.98,14.74,nan,6.6,5.8,0.17,8.34,9.54,2.71,0.56,0.26,131,147,29.51,320,205,6,379,132,25,9,20,463,92,2.63,11.35,27.53,1.13,0.36,Steens,LowerSteens,0,Day2021,1,0
48.46,1.83,15.18,nan,7.5,4.4,0.2,7.97,10.21,2.81,0.54,0.22,176,187,27.78,300,160,12,342,121,24,8,19,155,86,2.07,9.38,23.37,0.96,0.29,Steens,LowerSteens,0,Day2021,1,0
49.08,1.88,15.76,nan,6.4,4.6,0.18,7.29,10.43,3.02,0.5,0.22,150,248,27.54,289,179,9,364,123,23,8,20,166,82,2.21,9.67,24.1,1.05,0.33,Steens,LowerSteens,0,Day2021,1,0
