SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Formation,Member,FormationID,MemberID,EruptOrder
54.99,3.759,14.76,9.39,0.124,3.02,8.2,2.96,2.02,0.44299999999999995,16,40,36,468,1090,52,300,247,56,26.4,SaddleMountains,SwampCreek,5,1,45
51.88,3.352,13.17,13.99,0.204,4.11,8.04,2.83,1.76,0.39799999999999996,31,47,29,434,627,47,261,222,44,25.3,SaddleMountains,SwampCreek,5,1,45
52.02,3.2969999999999997,13.05,14.52,0.19899999999999998,4.0,7.83,2.86,1.58,0.392,25,41,33,422,588,44,249,216,43,24.3,SaddleMountains,SwampCreek,5,1,45
52.07,3.3510000000000004,13.21,14.07,0.19,4.02,8.03,2.82,1.6,0.391,26,42,29,427,591,43,254,216,44,24.5,SaddleMountains,SwampCreek,5,1,45
52.29,2.998,13.09,15.05,0.20800000000000002,3.58,7.82,2.68,1.72,0.33,13,27,30,443,526,57,258,208,43,22.6,SaddleMountains,SwampCreek,5,1,45
51.88,3.32,13.03,14.53,0.203,4.1,7.99,2.66,1.66,0.386,26,36,28,443,581,51,252,213,42,23.8,SaddleMountains,SwampCreek,5,1,45
50.28,2.969,13.67,14.1,0.225,4.98,8.68,2.76,1.46,0.6559999999999999,6,36,23,329,477,32,346,180,35,27.9,SaddleMountains,LowerMonumental,5,2,50
50.19,2.9760000000000004,13.81,13.71,0.22699999999999998,5.1,8.81,2.73,1.54,0.672,16,40,36,325,487,33,347,181,36,26.0,SaddleMountains,LowerMonumental,5,2,50
50.97,2.736,13.76,13.21,0.214,5.26,9.09,2.82,1.1,0.613,25,72,39,352,528,32,323,190,43,24.6,SaddleMountains,LowerMonumental,5,2,50
51.13,2.675,13.91,12.81,0.214,5.42,9.08,2.88,1.05,0.6,29,76,37,347,527,25,315,190,42,26.5,SaddleMountains,LowerMonumental,5,2,50
51.36,2.9360000000000004,14.0,13.14,0.213,4.39,8.79,2.78,1.5,0.667,17,25,28,320,525,33,355,178,38,31.2,SaddleMountains,LowerMonumental,5,2,50
53.95,3.181,13.38,12.52,0.19699999999999998,3.77,7.79,2.88,1.66,0.43200000000000005,10,22,29,353,647,46,269,217,41,23.2,SaddleMountains,LowerMonumental,5,2,50
54.1,2.7260000000000004,13.48,12.69,0.191,3.88,7.77,2.75,1.8,0.382,9,29,26,336,551,49,257,204,42,26.1,SaddleMountains,LowerMonumental,5,2,50
47.71,3.799,11.79,16.94,0.27899999999999997,4.31,9.03,2.7,1.28,1.854,8,29,43,207,816,23,248,460,107,55.0,SaddleMountains,IceHarbor,5,3,49
47.83,3.688,11.5,17.63,0.289,4.17,8.73,2.69,1.34,1.814,13,32,41,210,870,25,237,483,110,56.0,SaddleMountains,IceHarbor,5,3,49
48.08,3.8480000000000003,11.82,16.61,0.26899999999999996,4.13,9.05,2.67,1.33,1.8840000000000001,14,33,39,224,836,26,244,472,109,57.0,SaddleMountains,IceHarbor,5,3,49
48.1,3.718,11.55,17.25,0.27899999999999997,4.04,8.86,2.71,1.34,1.834,4,31,43,206,870,26,239,486,110,56.0,SaddleMountains,IceHarbor,5,3,49
47.82,3.807,11.74,17.15,0.26899999999999996,4.25,8.96,2.61,1.24,1.854,9,35,38,217,795,24,246,460,108,53.0,SaddleMountains,IceHarbor,5,3,49
47.73,3.799,11.65,17.17,0.27899999999999997,4.26,8.92,2.7,1.33,1.855,12,29,39,232,840,25,240,463,108,54.0,SaddleMountains,IceHarbor,5,3,49
47.57,3.798,11.67,17.21,0.309,4.31,8.97,2.69,1.32,1.844,3,32,39,215,811,24,239,456,108,54.0,SaddleMountains,IceHarbor,5,3,49
47.45,3.819,11.62,17.45,0.27899999999999997,4.35,8.89,2.68,1.3,1.855,4,39,43,219,830,24,236,448,105,53.0,SaddleMountains,IceHarbor,5,3,49
48.27,3.688,11.63,17.26,0.26899999999999996,4.14,8.45,2.82,1.35,1.814,4,32,42,193,875,27,230,485,107,57.0,SaddleMountains,IceHarbor,5,3,49
47.8,3.758,11.68,17.21,0.27899999999999997,4.24,8.93,2.72,1.24,1.834,3,33,43,214,834,25,237,461,107,53.0,SaddleMountains,IceHarbor,5,3,49
48.27,3.3710000000000004,13.31,14.24,0.21,6.05,10.39,2.61,0.51,0.768,33,181,44,360,496,5,253,246,55,28.4,SaddleMountains,IceHarbor,5,3,49
48.37,3.3810000000000002,13.03,14.67,0.214,5.79,10.15,2.63,0.69,0.8079999999999999,26,171,40,356,512,10,250,254,57,29.8,SaddleMountains,IceHarbor,5,3,49
48.55,3.3710000000000004,13.05,14.5,0.22,5.83,10.03,2.57,0.78,0.838,32,163,42,350,543,14,249,265,58,30.4,SaddleMountains,IceHarbor,5,3,49
48.45,3.292,13.07,14.72,0.22699999999999998,5.81,9.97,2.56,0.84,0.8079999999999999,30,174,43,347,496,14,245,257,58,29.9,SaddleMountains,IceHarbor,5,3,49
48.46,3.341,13.18,14.2,0.221,6.01,10.27,2.61,0.66,0.778,25,176,40,358,493,10,248,248,56,28.4,SaddleMountains,IceHarbor,5,3,49
48.47,3.341,13.15,14.32,0.218,6.07,10.04,2.57,0.78,0.768,28,180,44,349,494,13,247,249,55,29.4,SaddleMountains,IceHarbor,5,3,49
48.28,3.292,13.24,14.41,0.21899999999999997,5.91,10.21,2.56,0.85,0.768,27,180,46,339,487,11,248,248,55,27.4,SaddleMountains,IceHarbor,5,3,49
48.52,3.361,13.18,14.04,0.21600000000000003,5.89,10.19,2.67,0.87,0.7879999999999999,28,173,41,357,523,13,248,253,56,29.8,SaddleMountains,IceHarbor,5,3,49
48.43,3.341,13.07,14.36,0.22399999999999998,6.03,10.15,2.59,0.77,0.768,24,180,42,360,493,10,241,247,57,28.4,SaddleMountains,IceHarbor,5,3,49
48.53,3.362,13.18,14.17,0.223,6.02,10.11,2.55,0.85,0.758,25,173,45,356,492,14,247,247,55,27.7,SaddleMountains,IceHarbor,5,3,49
48.96,3.37,13.52,13.33,0.239,5.6,10.49,2.59,0.8,0.7979999999999999,43,190,42,368,772,14,266,255,57,29.1,SaddleMountains,IceHarbor,5,3,49
48.4,3.3310000000000004,13.17,14.32,0.214,5.92,10.18,2.56,0.86,0.778,29,175,39,360,518,12,250,253,54,28.9,SaddleMountains,IceHarbor,5,3,49
48.45,3.361,13.16,14.12,0.217,6.01,10.2,2.59,0.83,0.7879999999999999,38,178,42,347,529,12,246,253,56,28.7,SaddleMountains,IceHarbor,5,3,49
48.3,3.301,13.16,13.85,0.233,5.97,10.62,2.64,0.89,0.768,32,180,44,330,526,14,245,248,57,28.9,SaddleMountains,IceHarbor,5,3,49
48.84,3.38,13.32,13.66,0.22,5.74,10.33,2.64,0.81,0.778,32,181,42,348,718,16,255,248,57,29.4,SaddleMountains,IceHarbor,5,3,49
48.35,3.312,13.03,14.45,0.228,6.04,10.09,2.67,0.81,0.768,28,176,43,342,499,13,243,246,54,28.9,SaddleMountains,IceHarbor,5,3,49
48.46,3.242,13.17,14.25,0.22,6.07,10.07,2.68,0.81,0.758,28,183,40,349,526,12,245,245,55,27.5,SaddleMountains,IceHarbor,5,3,49
48.46,3.362,13.09,14.4,0.21899999999999997,5.95,10.08,2.58,0.83,0.778,24,176,44,351,535,13,245,253,55,28.9,SaddleMountains,IceHarbor,5,3,49
48.75,3.372,13.28,14.45,0.21600000000000003,5.26,10.31,2.67,0.55,0.878,24,181,44,359,492,8,253,236,57,27.5,SaddleMountains,IceHarbor,5,3,49
49.09,3.45,13.34,13.92,0.226,5.45,10.19,2.54,0.68,0.838,22,174,44,359,575,12,249,257,56,29.6,SaddleMountains,IceHarbor,5,3,49
49.15,3.55,12.78,14.74,0.221,5.2,9.46,2.73,1.01,0.878,20,109,45,364,635,20,251,289,62,32.4,SaddleMountains,IceHarbor,5,3,49
49.22,3.6,12.96,14.42,0.21,5.11,9.6,2.71,1.0,0.887,13,108,40,369,714,17,259,289,63,33.1,SaddleMountains,IceHarbor,5,3,49
55.08,2.1590000000000003,14.36,10.24,0.16699999999999998,4.66,8.71,2.92,1.15,0.33899999999999997,17,51,34,308,502,42,255,201,44,23.6,SaddleMountains,Buford,5,4,48
54.39,2.057,14.26,11.57,0.183,4.64,8.41,2.7,1.28,0.304,19,53,34,300,522,41,224,198,41,24.0,SaddleMountains,Buford,5,4,48
54.68,2.083,14.1,10.78,0.19699999999999998,4.73,8.59,2.9,1.35,0.314,25,57,32,300,1154,43,235,196,39,22.0,SaddleMountains,Buford,5,4,48
54.31,2.066,14.02,11.56,0.188,4.72,8.44,2.81,1.37,0.304,20,51,31,298,472,45,226,198,40,22.0,SaddleMountains,Buford,5,4,48
54.53,2.093,14.26,10.94,0.185,4.71,8.55,2.65,1.54,0.327,20,58,31,295,675,46,228,200,43,23.0,SaddleMountains,Buford,5,4,48
54.53,2.069,14.05,11.31,0.19399999999999998,4.58,8.4,2.72,1.62,0.321,20,49,31,283,470,47,219,200,40,23.0,SaddleMountains,Buford,5,4,48
54.97,2.144,14.27,10.83,0.177,4.44,8.29,2.88,1.48,0.313,20,43,29,307,451,46,229,204,43,23.0,SaddleMountains,Buford,5,4,48
55.54,2.14,14.36,9.83,0.191,4.57,8.54,2.63,1.67,0.312,24,47,30,305,654,50,237,202,41,23.0,SaddleMountains,Buford,5,4,48
55.09,2.165,14.5,10.25,0.172,4.56,8.5,2.78,1.44,0.332,24,55,30,278,577,44,243,207,42,24.0,SaddleMountains,Buford,5,4,48
54.82,2.114,14.15,11.52,0.175,4.3,8.09,2.86,1.45,0.32,19,49,28,285,395,47,223,200,40,23.0,SaddleMountains,Buford,5,4,48
55.42,2.129,14.53,9.88,0.18100000000000002,4.62,8.54,2.6,1.57,0.326,20,41,29,283,533,47,233,202,40,23.0,SaddleMountains,Buford,5,4,48
54.66,2.106,14.33,11.17,0.239,4.53,8.33,2.52,1.58,0.317,20,43,29,298,654,46,228,199,41,21.0,SaddleMountains,Buford,5,4,48
54.45,2.17,14.67,10.71,0.172,4.57,8.66,2.62,1.45,0.32899999999999996,21,56,31,309,470,40,230,202,39,23.0,SaddleMountains,Buford,5,4,48
52.13,3.778,13.01,13.25,0.21,4.26,8.61,2.57,1.33,0.597,16,36,34,428,496,32,237,262,54,25.8,SaddleMountains,ElephantMountain,5,5,47
51.32,3.694,12.86,14.49,0.221,4.21,8.59,2.47,1.32,0.583,10,37,37,415,507,32,231,258,52,25.4,SaddleMountains,ElephantMountain,5,5,47
51.88,3.739,13.11,13.45,0.225,4.34,8.66,2.44,1.31,0.5920000000000001,14,35,34,434,550,32,233,261,51,26.1,SaddleMountains,ElephantMountain,5,5,47
52.03,3.4760000000000004,12.83,14.67,0.215,4.09,8.54,2.26,1.12,0.551,11,21,34,393,471,31,235,234,53,29.4,SaddleMountains,ElephantMountain,5,5,47
51.41,3.3739999999999997,13.15,14.76,0.21899999999999997,4.12,8.51,2.43,1.28,0.529,10,34,33,398,452,32,234,238,46,28.0,SaddleMountains,ElephantMountain,5,5,47
51.3,3.4960000000000004,13.2,14.32,0.205,4.01,8.68,2.59,1.4,0.5539999999999999,14,41,33,399,573,32,243,246,50,29.0,SaddleMountains,ElephantMountain,5,5,47
51.27,3.4530000000000003,12.94,14.85,0.21,4.25,8.54,2.48,1.25,0.5379999999999999,13,38,34,399,427,32,233,240,48,29.0,SaddleMountains,ElephantMountain,5,5,47
51.51,3.472,12.95,14.56,0.212,4.32,8.5,2.53,1.19,0.537,14,41,33,386,448,34,231,240,48,29.0,SaddleMountains,ElephantMountain,5,5,47
51.74,3.508,13.02,14.55,0.20800000000000002,3.94,8.49,2.44,1.31,0.57,27,47,33,404,456,32,237,240,51,29.6,SaddleMountains,ElephantMountain,5,5,47
52.43,3.614,13.45,12.86,0.20199999999999999,3.92,8.92,2.53,1.27,0.565,17,31,41,425,488,33,247,240,53,28.5,SaddleMountains,ElephantMountain,5,5,47
51.47,3.53,13.17,14.66,0.20800000000000002,3.92,8.63,2.52,1.11,0.5489999999999999,12,34,35,418,426,31,239,236,50,28.7,SaddleMountains,ElephantMountain,5,5,47
51.32,3.485,13.53,13.08,0.18600000000000003,3.32,10.34,2.72,1.06,0.541,2,26,41,401,2107,27,317,240,48,27.5,SaddleMountains,ElephantMountain,5,5,47
51.66,3.681,12.89,14.4,0.203,3.71,8.72,2.63,1.3,0.569,8,22,38,427,478,30,241,255,53,28.0,SaddleMountains,ElephantMountain,5,5,47
51.25,3.571,12.75,14.73,0.212,4.21,8.51,2.64,1.33,0.562,4,25,37,414,460,33,230,253,51,29.2,SaddleMountains,ElephantMountain,5,5,47
53.15,3.82,14.05,10.5,0.171,3.9,9.32,2.81,1.43,0.588,5,23,35,434,615,34,266,265,55,30.1,SaddleMountains,ElephantMountain,5,5,47
50.97,3.59,12.98,14.83,0.19399999999999998,4.01,8.83,2.63,1.13,0.5489999999999999,5,25,31,407,449,528,245,246,48,28.2,SaddleMountains,ElephantMountain,5,5,47
51.61,3.572,13.04,14.06,0.201,4.13,8.7,2.63,1.27,0.557,7,23,36,403,463,30,235,244,52,27.5,SaddleMountains,ElephantMountain,5,5,47
51.54,3.5810000000000004,13.02,14.17,0.2,4.14,8.68,2.62,1.27,0.5529999999999999,8,21,40,419,436,32,239,246,52,26.6,SaddleMountains,ElephantMountain,5,5,47
50.84,3.432,13.08,14.6,0.205,4.47,8.66,2.69,1.28,0.522,2,34,36,410,449,30,237,234,48,27.0,SaddleMountains,ElephantMountain,5,5,47
51.75,3.572,13.07,13.78,0.203,4.24,8.76,2.63,1.22,0.542,10,25,32,400,477,29,245,241,49,27.7,SaddleMountains,ElephantMountain,5,5,47
51.63,3.6010000000000004,13.07,14.0,0.207,4.08,8.79,2.69,1.15,0.5479999999999999,5,24,39,409,481,30,242,246,48,26.4,SaddleMountains,ElephantMountain,5,5,47
51.42,3.432,13.16,14.33,0.272,4.25,8.68,2.47,1.21,0.5479999999999999,9,29,30,413,457,31,233,233,50,29.0,SaddleMountains,ElephantMountain,5,5,47
50.88,3.3289999999999997,13.1,15.01,0.223,4.41,8.59,2.52,1.21,0.513,12,41,29,394,426,30,233,227,46,26.0,SaddleMountains,ElephantMountain,5,5,47
52.12,2.9610000000000003,13.46,13.3,0.22,4.46,8.32,2.88,1.59,0.43700000000000006,31,35,38,366,653,31,278,251,48,25.4,SaddleMountains,Craigmont,5,6,46
53.87,3.2569999999999997,14.67,10.03,0.182,3.94,9.01,2.79,1.47,0.446,22,33,38,393,1138,29,330,278,59,28.5,SaddleMountains,Craigmont,5,6,46
52.29,3.015,13.7,12.77,0.207,4.29,8.5,2.92,1.6,0.442,29,35,31,364,677,31,287,257,49,25.1,SaddleMountains,Craigmont,5,6,46
51.35,2.9730000000000003,13.49,14.07,0.21899999999999997,4.59,8.37,2.83,1.41,0.43,30,37,32,388,645,30,284,253,48,25.4,SaddleMountains,Craigmont,5,6,46
52.34,2.9989999999999997,13.59,12.92,0.225,4.44,8.43,2.85,1.51,0.431,31,33,38,368,674,29,292,253,45,26.2,SaddleMountains,Craigmont,5,6,46
51.68,2.943,13.36,13.97,0.217,4.47,8.32,2.87,1.48,0.43,30,34,36,386,664,30,283,253,48,25.5,SaddleMountains,Craigmont,5,6,46
52.25,2.987,13.53,13.1,0.21,4.39,8.38,2.88,1.58,0.43200000000000005,29,36,33,381,670,26,286,253,47,26.3,SaddleMountains,Craigmont,5,6,46
