Sample ID#,SiO2,TiO2,Al2O3,FeO*,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Ga,Cu,Zn,Pb,La,Ce,Th,U,Formation (Given),FormationID (Given),Highest Prob Formation,Probability ,2nd Highest Prob Formation,Probability,Member (Given),Highest Prob Member ,Probability,2nd Highest Prob Member,Probability,Source,Reference
0,51.15,1.82,13.76,nan,8.22,3.89,0.22,5.07,8.95,2.65,0.72,0.26,13,36,35,326,375,21,321,154,33,12,nan,37,112,6,21,41,4,1,GrandeRonde,3,GrandeRonde,0.81679196,Wanapum,0.13987041,Undifferentiated,SentinelBluffs,0.98746573,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
1,51.15,1.82,13.76,nan,8.22,3.89,0.22,5.07,8.95,2.65,0.72,0.26,13,36,35,326,375,21,321,154,33,12,nan,37,112,6,21,41,4,1,GrandeRonde,3,GrandeRonde,0.81679196,Wanapum,0.13987041,Undifferentiated,SentinelBluffs,0.98746573,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
2,53.05,1.901,13.94,nan,11.81,nan,0.21,4.94,8.93,2.8,0.95,0.269,10,43,39,324,430,27,310,147,31,11.4,nan,31,109,2,24,42,2,nan,GrandeRonde,3,GrandeRonde,0.93806967,SaddleMountains,0.0376934,Undifferentiated,SentinelBluffs,0.99256298,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
3,53.05,1.901,13.94,nan,11.81,nan,0.21,4.94,8.93,2.8,0.95,0.269,10,43,39,324,430,27,310,147,31,11.4,nan,31,109,2,24,42,2,nan,GrandeRonde,3,GrandeRonde,0.93806967,SaddleMountains,0.0376934,Undifferentiated,SentinelBluffs,0.99256298,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
4,54.32,1.7,13.53,nan,8.16,3.47,0.2,4.17,7.67,2.93,1.51,0.28,9,25,31,280,570,40,313,172,32,12,nan,29,120,9,21,42,6,1.4,GrandeRonde,3,GrandeRonde,0.9961239,Steens,0,Undifferentiated,SentinelBluffs,0.84515628,ArmstrongCanyon,0.10087601,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
5,54.32,1.7,13.53,nan,8.16,3.47,0.2,4.17,7.67,2.93,1.51,0.28,9,25,31,280,570,40,313,172,32,12,nan,29,120,9,21,42,6,1.4,GrandeRonde,3,GrandeRonde,0.9961239,Steens,0,Undifferentiated,SentinelBluffs,0.84515628,ArmstrongCanyon,0.10087601,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
6,51.66,1.78,13.66,nan,8.86,3.24,0.21,4.91,8.75,2.69,1.01,0.28,14,39,35,300,495,25,328,161,32,12,nan,39,112,6,21,38,3,0.5,GrandeRonde,3,GrandeRonde,0.84192211,SaddleMountains,0.07948649,Undifferentiated,SentinelBluffs,0.98314779,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
7,51.66,1.78,13.66,nan,8.86,3.24,0.21,4.91,8.75,2.69,1.01,0.28,14,39,35,300,495,25,328,161,32,12,nan,39,112,6,21,38,3,0.5,GrandeRonde,3,GrandeRonde,0.84192211,SaddleMountains,0.07948649,Undifferentiated,SentinelBluffs,0.98314779,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
8,53.59,1.982,13.79,nan,11.65,nan,0.23,4.48,8.39,3.04,1.14,0.303,8,31,38,344,490,29,310,153,33,12.3,nan,24,118,3,15,33,5,nan,GrandeRonde,3,GrandeRonde,0.96897729,Wanapum,0.02850252,Undifferentiated,SentinelBluffs,0.99484433,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
9,53.59,1.982,13.79,nan,11.65,nan,0.23,4.48,8.39,3.04,1.14,0.303,8,31,38,344,490,29,310,153,33,12.3,nan,24,118,3,15,33,5,nan,GrandeRonde,3,GrandeRonde,0.96897729,Wanapum,0.02850252,Undifferentiated,SentinelBluffs,0.99484433,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
10,53.52,1.7,13.68,nan,7.44,4.05,0.18,4.51,7.78,2.99,1.35,0.31,14,48,31,301,578,39,304,176,36,13,nan,25,109,8,24,44,6,nan,GrandeRonde,3,GrandeRonde,0.95105951,SaddleMountains,0.03682121,Undifferentiated,SentinelBluffs,0.83717276,MeyerRidge,0.09535246,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
11,53.52,1.7,13.68,nan,7.44,4.05,0.18,4.51,7.78,2.99,1.35,0.31,14,48,31,301,578,39,304,176,36,13,nan,25,109,8,24,44,6,nan,GrandeRonde,3,GrandeRonde,0.95105951,SaddleMountains,0.03682121,Undifferentiated,SentinelBluffs,0.83717276,MeyerRidge,0.09535246,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
12,54.61,1.8,13.69,nan,9.13,2.34,0.19,3.86,7.36,3.09,1.52,0.31,8,18,32,285,627,41,321,181,33,13,nan,27,118,10,24,48,5,1.3,GrandeRonde,3,GrandeRonde,0.99762068,Steens,0,Undifferentiated,SentinelBluffs,0.84440939,CenterCreek,0.02759999,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
13,54.61,1.8,13.69,nan,9.13,2.34,0.19,3.86,7.36,3.09,1.52,0.31,8,18,32,285,627,41,321,181,33,13,nan,27,118,10,24,48,5,1.3,GrandeRonde,3,GrandeRonde,0.99762068,Steens,0,Undifferentiated,SentinelBluffs,0.84440939,CenterCreek,0.02759999,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
14,52.82,1.69,13.86,nan,7.32,4.13,0.2,4.7,7.88,3,1.34,0.31,13,43,34,259,556,36,308,167,34,11,nan,35,101,9,23,43,4,nan,GrandeRonde,3,GrandeRonde,0.97184212,PictureGorge,0.01095071,Undifferentiated,SentinelBluffs,0.9402636,MeyerRidge,0.04039347,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
15,52.82,1.69,13.86,nan,7.32,4.13,0.2,4.7,7.88,3,1.34,0.31,13,43,34,259,556,36,308,167,34,11,nan,35,101,9,23,43,4,nan,GrandeRonde,3,GrandeRonde,0.97184212,PictureGorge,0.01095071,Undifferentiated,SentinelBluffs,0.9402636,MeyerRidge,0.04039347,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
16,53.42,2.005,13.7,nan,11.96,nan,0.21,4.68,8.13,3.08,1.18,0.313,8,32,35,341,492,27,309,156,33,13.1,nan,26,113,5,28,41,3,nan,GrandeRonde,3,GrandeRonde,0.9560277,Wanapum,0.03493379,Undifferentiated,SentinelBluffs,0.98748509,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
17,53.42,2.005,13.7,nan,11.96,nan,0.21,4.68,8.13,3.08,1.18,0.313,8,32,35,341,492,27,309,156,33,13.1,nan,26,113,5,28,41,3,nan,GrandeRonde,3,GrandeRonde,0.9560277,Wanapum,0.03493379,Undifferentiated,SentinelBluffs,0.98748509,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
18,52.79,2.062,14.08,nan,11.45,nan,0.32,4.39,8.71,2.79,0.79,0.317,8,35,42,355,467,19,323,155,34,12.6,nan,24,127,4,12,30,3,nan,GrandeRonde,3,GrandeRonde,0.77749984,Wanapum,0.22207059,Undifferentiated,SentinelBluffs,0.97416954,EcklerMountain,0.02004942,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
19,52.79,2.062,14.08,nan,11.45,nan,0.32,4.39,8.71,2.79,0.79,0.317,8,35,42,355,467,19,323,155,34,12.6,nan,24,127,4,12,30,3,nan,GrandeRonde,3,GrandeRonde,0.77749984,Wanapum,0.22207059,Undifferentiated,SentinelBluffs,0.97416954,EcklerMountain,0.02004942,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
20,54.12,2.028,13.76,nan,11.69,nan,0.22,4.47,7.79,3.06,1.34,0.319,9,36,39,345,498,38,304,153,34,12.3,nan,27,118,6,13,37,5,nan,GrandeRonde,3,GrandeRonde,0.98752038,Wanapum,0.01203826,Undifferentiated,SentinelBluffs,0.96596968,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
21,54.12,2.028,13.76,nan,11.69,nan,0.22,4.47,7.79,3.06,1.34,0.319,9,36,39,345,498,38,304,153,34,12.3,nan,27,118,6,13,37,5,nan,GrandeRonde,3,GrandeRonde,0.98752038,Wanapum,0.01203826,Undifferentiated,SentinelBluffs,0.96596968,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
22,52.24,2.08,13.42,nan,7.57,5.15,0.19,4.09,7.47,3,1.29,0.35,7,25,36,345,475,37,326,172,34,13,nan,23,127,8,23,42,4,0.8,GrandeRonde,3,GrandeRonde,0.81254684,Wanapum,0.18614419,Undifferentiated,SentinelBluffs,0.55368578,FrenchmanSprings,0.36480915,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
23,52.24,2.08,13.42,nan,7.57,5.15,0.19,4.09,7.47,3,1.29,0.35,7,25,36,345,475,37,326,172,34,13,nan,23,127,8,23,42,4,0.8,GrandeRonde,3,GrandeRonde,0.81254684,Wanapum,0.18614419,Undifferentiated,SentinelBluffs,0.55368578,FrenchmanSprings,0.36480915,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
24,54.98,2.131,13.39,nan,12.09,nan,0.21,3.4,7.09,2.87,1.7,0.367,3,19,35,339,640,46,311,181,40,13.3,nan,12,126,7,33,62,8,nan,GrandeRonde,3,GrandeRonde,0.99646521,Steens,0,Undifferentiated,WinterWater,0.8262196,SentinelBluffs,0.12395621,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
25,54.98,2.131,13.39,nan,12.09,nan,0.21,3.4,7.09,2.87,1.7,0.367,3,19,35,339,640,46,311,181,40,13.3,nan,12,126,7,33,62,8,nan,GrandeRonde,3,GrandeRonde,0.99646521,Steens,0,Undifferentiated,WinterWater,0.8262196,SentinelBluffs,0.12395621,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
26,52.73,1.8,13.55,nan,6.97,5.26,0.19,4.47,7.75,3.03,1.35,0.37,11,40,31,252,617,37,307,177,36,12,nan,32,107,7,24,48,3,1.2,GrandeRonde,3,GrandeRonde,0.79458013,Wanapum,0.13379593,Undifferentiated,SentinelBluffs,0.92457634,BirchCreek,0.01791896,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
27,52.73,1.8,13.55,nan,6.97,5.26,0.19,4.47,7.75,3.03,1.35,0.37,11,40,31,252,617,37,307,177,36,12,nan,32,107,7,24,48,3,1.2,GrandeRonde,3,GrandeRonde,0.79458013,Wanapum,0.13379593,Undifferentiated,SentinelBluffs,0.92457634,BirchCreek,0.01791896,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
28,49.86,2.23,12.96,nan,8.66,5.73,0.25,3.99,7.54,2.86,1.06,0.38,10,14,36,376,540,29,316,189,39,14,nan,38,131,8,25,51,5,0.9,GrandeRonde,3,Wanapum,0.84263659,GrandeRonde,0.15715073,Undifferentiated,FrenchmanSprings,0.61450944,SentinelBluffs,0.35164267,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
29,55.83,2.24,14.16,nan,11.56,nan,0.18,2.74,6.71,3.27,1.54,0.393,4,21,37,352,724,45,333,191,42,13.8,nan,12,132,11,25,62,6,nan,GrandeRonde,3,GrandeRonde,0.99981231,Steens,0,Undifferentiated,WinterWater,0.58225149,WapshillaRidge,0.35128481,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
30,55.83,2.24,14.16,nan,11.56,nan,0.18,2.74,6.71,3.27,1.54,0.393,4,21,37,352,724,45,333,191,42,13.8,nan,12,132,11,25,62,6,nan,GrandeRonde,3,GrandeRonde,0.99981231,Steens,0,Undifferentiated,WinterWater,0.58225149,WapshillaRidge,0.35128481,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
31,54.6,2.211,13.24,nan,12.51,nan,0.22,3.76,7.57,2.99,1.64,0.446,3,25,40,322,588,38,310,178,40,13.6,nan,17,131,6,30,55,3,nan,GrandeRonde,3,GrandeRonde,0.66419254,Wanapum,0.33561564,Undifferentiated,SentinelBluffs,0.82526554,FrenchmanSprings,0.09667328,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
32,54.6,2.211,13.24,nan,12.51,nan,0.22,3.76,7.57,2.99,1.64,0.446,3,25,40,322,588,38,310,178,40,13.6,nan,17,131,6,30,55,3,nan,GrandeRonde,3,GrandeRonde,0.66419254,Wanapum,0.33561564,Undifferentiated,SentinelBluffs,0.82526554,FrenchmanSprings,0.09667328,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
33,54.13,2.18,12.77,nan,8.58,4.37,0.22,2.95,6.47,3.06,1.72,0.51,3,11,30,247,774,49,317,210,44,16,nan,11,135,10,29,59,7,2.1,GrandeRonde,3,GrandeRonde,0.6379694,Wanapum,0.36149806,Undifferentiated,WinterWater,0.94478072,FrenchmanSprings,0.01800154,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
34,54.13,2.18,12.77,nan,8.58,4.37,0.22,2.95,6.47,3.06,1.72,0.51,3,11,30,247,774,49,317,210,44,16,nan,11,135,10,29,59,7,2.1,GrandeRonde,3,GrandeRonde,0.6379694,Wanapum,0.36149806,Undifferentiated,WinterWater,0.94478072,FrenchmanSprings,0.01800154,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
35,57.9337,1.94,12.948,nan,11.5713,nan,0.2258,1.5803,4.9547,3.8218,2.1894,0.764,1.5856,0.2,26.4597,62.5321,942.1437,66.1988,317.4173,248.5428,53.514,17.4416,23.4867,6.4415,153.4068,11.0992,37.9553,75.4151,8.1262,2.4775,GrandeRonde,3,GrandeRonde,0.99863796,Steens,0,Undifferentiated,ShumakerCreek,0.97063513,WinterWater,0.02025727,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
36,58.7972,1.8922,12.9483,nan,9.3757,nan,0.2785,1.7352,5.3023,3.1991,2.7378,0.7757,3.2835,0.2,26.1685,53.2325,1168.4285,64.35,319.4945,251.5862,53.4315,18.4075,22.288,8.2585,145.867,13.0345,36.218,78.605,8.0595,2.985,GrandeRonde,3,GrandeRonde,0.9997843,Steens,0,Undifferentiated,ShumakerCreek,0.99414369,LowerSteens,0,OWRD,Oregon Water Resources Department. (n.d.). Well log query tool. Oregon State Government. http://apps2.wrd.state.or.us/apps/gw/well_log/Default.aspx
37,55.99,1.71,14.12,11.23,nan,nan,0.19,4.18,7.79,3.17,1.39,0.23,26,7,34,312,487,35,315,150,31,12.8,23,16,102,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99973619,Steens,0,Undifferentiated,ChinaCreek,0.98730054,LowerSteens,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
38,54.27,1.55,14.65,10.12,nan,nan,0.18,5.47,9.62,2.93,0.97,0.24,75,134,37,303,395,24,305,129,28,11.1,19,68,94,nan,nan,nan,nan,nan,GrandeRonde,3,SaddleMountains,0.66283318,GrandeRonde,0.32778811,Undifferentiated,MeyerRidge,0.99243671,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
39,53.63,1.104,15.1,9.36,nan,nan,0.172,6.41,10.39,2.91,0.67,0.24,18,99,48,257,362,13,388,112,24,6.6,21,52,90,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.76535029,Wanapum,0.23381957,Undifferentiated,FieldSprings,0.99568928,LowerSteens,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
