SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Formation,Member,MemberID,Source,FormationID,Polarity
48.96,1.76,15.33,0.18,7.39,10.26,2.82,0.46,0.21,Steens,LowerSteens,0,Day2021,0.0,0.0
48.86377926,2.214190688,18.0508012,0.174041411,4.820505257,10.16143852,3.452124341,0.725387538,0.318088992,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.22312823,2.155194965,16.88895614,0.168799365,6.751964129,8.961256088,3.264790244,0.911905817,0.346471892,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.05212317,1.967795332,14.72287216,0.177821196,8.150318538,10.20288933,2.643722124,0.790015793,0.240062699,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.36037946,1.950375294,15.15284188,0.186844993,8.340042973,10.50003279,2.616350873,0.469364919,0.243763713,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.51526767,2.086001736,16.56218531,0.181320481,7.017700478,10.13849,3.064797688,0.650609146,0.252963088,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.58379711,2.128131914,16.63531748,0.186876332,6.478584313,10.4895207,3.10280384,0.603618711,0.278022989,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.76683096,2.111887364,16.56507943,0.153899561,7.38788886,9.699434917,2.743529702,0.677979544,0.241746547,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.98673875,1.850852725,18.54785103,0.155053818,6.057457344,10.67410955,3.026860918,0.508382275,0.250844325,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.46525348,1.800089852,13.78912018,0.188302513,10.90379012,10.1521595,2.337713604,0.471432441,0.222461441,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.6782027,1.802876182,14.78262021,0.166797299,9.060048891,10.51344551,2.516074859,0.343467078,0.189874479,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.58125897,1.947691619,15.53087853,0.176224697,8.010014252,10.10190708,2.774872874,0.6561145,0.295742183,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.02672883,1.851975388,15.97464197,0.173946208,7.494042041,10.04148126,2.957697466,0.675230291,0.293381246,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.94241724,2.147487064,16.04497894,0.161618208,7.574883577,9.39097488,2.944681428,0.792751469,0.302316907,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.16298104,1.79479302,14.97781779,0.173354,8.851106856,11.00607207,2.634926459,0.380599929,0.231688773,Steens,LowerSteens,0,Moore2018,0.0,0.0
