SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Cu,Formation,Member,MemberID,Source,FormationID,Polarity
48.96,1.76,15.33,0.18,7.39,10.26,2.82,0.46,0.21,179.0,193.0,27.52,292.0,372.0,11.0,367.0,123.0,23.0,7.0,132.0,Steens,LowerSteens,0,Day2021,0.0,0.0
48.86377926,2.214190688,18.0508012,0.174041411,4.820505257,10.16143852,3.452124341,0.725387538,0.318088992,77.184,85.5255,27.738,356.373,275.772,9.1455,519.183,146.6295,29.547,9.9495,162.9105,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.22312823,2.155194965,16.88895614,0.168799365,6.751964129,8.961256088,3.264790244,0.911905817,0.346471892,133.5645,48.642,27.135,314.766,329.9415,13.668,490.9425,146.529,28.4415,10.251,223.0095,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.05212317,1.967795332,14.72287216,0.177821196,8.150318538,10.20288933,2.643722124,0.790015793,0.240062699,174.87,460.9935,30.753,316.6755,222.4065,15.7785,341.901,146.127,27.0345,9.7485,129.5445,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.36037946,1.950375294,15.15284188,0.186844993,8.340042973,10.50003279,2.616350873,0.469364919,0.243763713,195.171,506.118,31.557,307.6305,302.706,6.7335,364.5135,144.8205,27.135,9.7485,164.82,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.51526767,2.086001736,16.56218531,0.181320481,7.017700478,10.13849,3.064797688,0.650609146,0.252963088,129.645,199.392,28.0395,330.1425,192.0555,9.246,358.383,144.519,28.2405,9.246,198.4875,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.58379711,2.128131914,16.63531748,0.186876332,6.478584313,10.4895207,3.10280384,0.603618711,0.278022989,104.52,197.181,31.557,363.207,211.854,7.437,459.9885,139.5945,29.346,9.246,185.523,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.76683096,2.111887364,16.56507943,0.153899561,7.38788886,9.699434917,2.743529702,0.677979544,0.241746547,144.648,156.408,28.028,325.066,193.648,12.838,361.62,134.0265,25.186,8.036,190.904,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.98673875,1.850852725,18.54785103,0.155053818,6.057457344,10.67410955,3.026860918,0.508382275,0.250844325,126.228,191.0505,24.4215,293.7615,220.095,6.9345,509.6355,130.5495,24.6225,9.849,134.9715,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.46525348,1.800089852,13.78912018,0.188302513,10.90379012,10.1521595,2.337713604,0.471432441,0.222461441,301.6005,812.1405,30.2505,297.9825,184.8195,8.1405,319.6905,129.846,24.723,8.7435,140.097,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.6782027,1.802876182,14.78262021,0.166797299,9.060048891,10.51344551,2.516074859,0.343467078,0.189874479,223.4115,441.2955,31.4565,302.907,140.298,4.422,261.4005,120.6,26.4315,8.241,100.3995,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.58125897,1.947691619,15.53087853,0.176224697,8.010014252,10.10190708,2.774872874,0.6561145,0.295742183,149.842,241.276,32.732,331.436,242.648,10.976,439.824,119.798,27.44,6.958,174.146,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.02672883,1.851975388,15.97464197,0.173946208,7.494042041,10.04148126,2.957697466,0.675230291,0.293381246,150.311,220.5415,30.338,308.305,242.507,11.426,480.089,119.7,25.7085,7.9785,189.8095,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.94241724,2.147487064,16.04497894,0.161618208,7.574883577,9.39097488,2.944681428,0.792751469,0.302316907,159.795,168.7395,25.929,315.0675,250.848,13.3665,415.065,148.2375,27.537,10.854,177.7845,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.16298104,1.79479302,14.97781779,0.173354,8.851106856,11.00607207,2.634926459,0.380599929,0.231688773,153.8655,359.4885,30.4515,279.8925,167.5335,4.5225,416.874,118.389,24.8235,10.452,57.084,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.15463639,1.655739584,14.79416744,0.179178455,9.508519675,10.60268195,2.400857395,0.519042339,0.172574528,247.5315,533.655,30.351,296.1735,127.3335,9.7485,260.295,115.2735,24.2205,6.633,98.9925,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.09995935,1.757921616,16.82539402,0.172793734,7.782020128,10.17598631,3.020760062,0.666942492,0.271789603,162.006,115.977,28.743,302.0025,265.4205,9.045,536.67,107.6355,24.8235,6.7335,159.996,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.4025189,1.719798183,15.4330843,0.16430224,8.920647548,11.10657856,2.396411785,0.511992748,0.188928048,171.9555,435.366,35.4765,346.725,175.875,8.5425,373.3575,95.5755,22.4115,5.3265,149.544,Steens,LowerSteens,0,Moore2018,0.0,0.0
47.47248827,1.548035397,17.59673465,0.178419779,8.354486281,10.17221795,2.509360268,0.750826996,0.183754251,165.726,41.679,29.403,285.219,220.671,22.77,446.688,84.7215,20.988,7.029,148.698,Steens,LowerSteens,0,Moore2018,0.0,0.0
66.68,0.945,13.55,0.07,0.86,3.32,3.0,3.36,0.223,3.0,7.8,16.5,53.3,1842.6,127.9,299.4,322.1,45.4,21.4,12.9,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.00162,1.677147882,14.18642264,0.183449397,10.47111974,9.956684053,2.374859076,0.440462667,0.208713964,254.3655,635.8635,30.8535,282.9075,179.493,5.628,343.911,116.982,23.517,8.7435,177.3825,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.08311991,2.015458298,15.13565852,0.180181784,7.141949695,10.69802106,2.65127547,0.803079876,0.251385042,141.2025,384.4125,32.0595,307.932,218.1855,16.884,353.4585,149.8455,28.4415,9.7485,194.2665,Steens,LowerSteens,0,Moore2018,0.0,0.0
