SiO2,TiO2,Al2O3,FeO*,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Ga,Cu,Zn,Pb,La,Ce,Th,U,Formation,Member,MemberID,Source,FormationID,Polarity
56.97,2.119,14.27,9.27,,,0.175,3.88,7.74,3.13,1.86,0.325,21.0,12.0,34.0,343.0,646.0,48.0,334.0,189.0,39.0,12.8,23.0,36.0,120.0,6.0,21.0,50.0,2.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.63,2.403,13.6,12.81,,,0.203,3.48,7.1,3.19,1.85,0.498,2.0,21.0,35.0,366.0,633.0,43.0,317.0,189.0,41.0,14.6,20.0,13.0,134.0,7.0,21.0,63.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
53.93,2.153,14.24,11.68,,,0.69,3.57,8.15,3.09,1.8,0.414,32.0,14.0,36.0,375.0,879.0,43.0,343.0,189.0,43.0,13.4,22.0,54.0,132.0,8.0,29.0,50.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.26,2.031,14.12,10.83,,,0.193,3.72,7.43,3.22,1.66,0.305,22.0,8.0,34.0,355.0,602.0,42.0,316.0,189.0,36.0,12.9,22.0,25.0,118.0,5.0,21.0,50.0,2.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.71,2.097,14.03,11.99,,,0.196,4.09,7.64,3.14,1.52,0.366,11.0,8.0,31.0,327.0,562.0,42.0,358.0,189.0,37.0,12.8,20.0,44.0,127.0,8.0,21.0,51.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.76,2.255,13.99,11.28,,,0.202,4.21,7.79,3.26,1.66,0.359,10.0,36.0,31.0,338.0,507.0,41.0,323.0,189.0,38.0,15.8,23.0,61.0,122.0,7.0,29.0,60.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.23,2.183,13.87,11.87,,,0.189,4.35,7.89,3.32,1.51,0.349,12.0,30.0,39.0,338.0,510.0,40.0,334.0,189.0,39.0,14.8,27.0,67.0,115.0,7.0,40.0,52.0,2.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.76,2.557,13.81,11.65,,,0.218,3.67,7.39,3.51,1.71,0.466,7.0,18.0,30.0,406.0,711.0,38.0,324.0,189.0,43.0,14.5,24.0,14.0,134.0,5.0,25.0,48.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.03,2.331,13.6,12.7,,,0.192,3.49,6.84,3.35,1.78,0.429,8.0,0.2,32.0,372.0,714.0,47.0,319.0,189.0,37.0,12.7,20.0,21.0,131.0,10.0,28.0,58.0,6.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.01,2.217,14.27,10.76,,,0.191,4.1,8.33,3.09,1.45,0.34,19.0,43.0,38.0,337.0,578.0,38.0,343.0,188.0,36.0,12.8,18.0,76.0,118.0,24.0,22.0,40.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.32,2.315,13.79,11.47,,,0.208,3.66,7.44,3.19,1.88,0.451,26.0,10.0,34.0,385.0,847.0,54.0,324.0,188.0,40.0,14.0,21.0,33.0,129.0,5.0,26.0,56.0,1.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.46,2.101,13.93,11.24,,,0.254,3.77,7.79,3.18,1.65,0.378,24.0,12.0,36.0,385.0,648.0,40.0,326.0,188.0,41.0,12.4,21.0,48.0,123.0,5.0,23.0,47.0,1.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.33,2.189,13.84,11.16,,,0.197,3.4,7.08,2.81,2.34,0.41,16.0,13.0,32.0,335.0,712.0,54.0,354.0,188.0,36.0,13.5,22.0,13.0,122.0,7.0,27.0,58.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.46,2.207,13.79,11.69,,,0.19,3.15,6.57,3.39,1.88,0.423,23.0,14.0,31.0,329.0,715.0,56.0,348.0,188.0,37.0,12.6,22.0,14.0,124.0,7.0,29.0,59.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.67,2.184,14.7,9.45,,,0.173,3.77,8.4,3.25,1.72,0.43,13.0,13.0,37.0,385.0,724.0,41.0,345.0,189.0,45.0,14.1,23.0,49.0,138.0,8.0,25.0,55.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.66,2.553,13.77,11.87,,,0.218,3.65,7.35,3.5,1.71,0.463,10.0,17.0,34.0,396.0,697.0,39.0,323.0,188.0,42.0,15.3,19.0,17.0,127.0,4.0,19.0,41.0,6.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.78,2.195,13.68,12.25,,,0.211,3.74,7.61,3.26,1.6,0.423,13.0,22.0,26.0,392.0,656.0,35.0,317.0,188.0,43.0,13.5,21.0,51.0,129.0,4.0,12.0,54.0,1.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
57.2,2.175,14.58,8.85,,,0.167,3.77,7.57,3.24,1.89,0.324,5.0,6.0,34.0,346.0,668.0,45.0,371.0,187.0,37.0,10.9,23.0,17.0,129.0,9.0,26.0,52.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.3,2.161,14.32,10.81,,,0.197,3.56,8.24,3.03,1.71,0.414,13.0,15.0,36.0,383.0,827.0,41.0,350.0,187.0,43.0,13.0,23.0,55.0,130.0,9.0,26.0,46.0,3.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.4,2.194,14.1,11.23,,,0.211,4.3,8.28,3.14,1.58,0.339,19.0,46.0,34.0,331.0,509.0,39.0,338.0,187.0,38.0,14.8,18.0,68.0,121.0,11.0,2.0,55.0,2.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.94,2.374,14.0,10.1,,,0.199,3.37,7.17,3.08,2.03,0.459,40.0,42.0,35.0,323.0,986.0,52.0,359.0,187.0,40.0,16.0,20.0,36.0,128.0,7.0,22.0,48.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.17,2.099,13.96,11.03,,,0.198,3.74,7.49,3.15,1.6,0.334,8.0,22.0,28.0,349.0,668.0,40.0,324.0,187.0,41.0,13.3,23.0,34.0,126.0,7.0,10.0,53.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.02,2.269,13.96,11.27,,,0.194,4.07,7.67,3.4,1.55,0.36,10.0,33.0,32.0,349.0,524.0,41.0,313.0,188.0,38.0,14.6,26.0,61.0,121.0,8.0,5.0,47.0,6.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
57.21,1.971,13.75,11.8,,,0.173,2.95,6.23,3.54,1.82,0.308,0.5,13.0,32.0,336.0,731.0,54.0,308.0,182.0,41.0,13.7,26.0,14.0,126.0,10.0,32.0,62.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.71,2.414,13.82,11.27,,,0.22,3.48,7.3,3.09,1.9,0.511,9.0,19.0,37.0,367.0,1075.0,45.0,349.0,190.0,42.0,14.8,24.0,20.0,126.0,8.0,30.0,40.0,6.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.41,2.397,13.63,12.71,,,0.193,3.05,6.7,3.41,1.78,0.453,10.0,13.0,37.0,364.0,753.0,49.0,334.0,190.0,40.0,14.3,23.0,28.0,130.0,11.0,30.0,54.0,7.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.62,2.194,13.91,11.87,,,0.197,4.02,7.87,3.26,1.48,0.341,8.0,38.0,29.0,355.0,567.0,40.0,326.0,187.0,37.0,15.5,24.0,52.0,112.0,7.0,18.0,61.0,7.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.63,2.41,13.75,12.24,,,0.182,3.23,6.9,3.16,1.76,0.451,10.0,18.0,32.0,352.0,973.0,46.0,339.0,192.0,38.0,15.6,24.0,23.0,128.0,8.0,22.0,45.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.31,2.349,13.63,12.27,,,0.199,3.4,6.98,3.37,1.79,0.44,9.0,0.2,31.0,371.0,743.0,45.0,326.0,192.0,39.0,13.4,21.0,20.0,131.0,8.0,24.0,52.0,6.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.19,2.54,13.62,12.88,,,0.203,3.64,7.25,3.22,1.74,0.454,12.0,27.0,36.0,410.0,682.0,44.0,312.0,192.0,41.0,14.5,22.0,30.0,129.0,9.0,23.0,67.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.9,2.289,14.37,9.91,,,0.196,3.73,7.92,3.01,1.98,0.442,23.0,13.0,36.0,385.0,683.0,45.0,342.0,191.0,44.0,13.7,20.0,54.0,135.0,7.0,24.0,59.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.73,2.397,14.32,10.95,,,0.168,4.07,8.3,3.02,1.39,0.4,67.0,61.0,37.0,339.0,518.0,40.0,356.0,191.0,38.0,13.4,21.0,71.0,118.0,6.0,3.0,48.0,3.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
53.48,2.202,14.25,12.14,,,0.19,4.53,8.43,3.03,1.19,0.331,20.0,28.0,33.0,337.0,493.0,33.0,354.0,191.0,36.0,14.5,21.0,57.0,122.0,6.0,22.0,46.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.69,2.193,14.15,10.95,,,0.192,4.27,8.25,3.06,1.66,0.335,28.0,36.0,33.0,340.0,532.0,40.0,340.0,191.0,36.0,13.6,21.0,71.0,116.0,4.0,20.0,46.0,1.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.55,2.358,14.09,11.12,,,0.201,4.04,8.31,3.03,1.67,0.398,61.0,55.0,37.0,328.0,558.0,41.0,343.0,191.0,37.0,13.5,20.0,75.0,122.0,11.0,17.0,48.0,2.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.74,2.269,13.9,11.65,,,0.21,3.99,7.7,3.41,1.55,0.363,10.0,32.0,27.0,351.0,525.0,39.0,316.0,191.0,38.0,14.5,25.0,66.0,121.0,6.0,24.0,54.0,9.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
