SiO2,TiO2,Al2O3,FeO*,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Ga,Cu,Zn,Pb,La,Ce,Th,U,Formation,Member,MemberID,Source,FormationID,Polarity
51.53,2.251,16.2,11.9,nan,nan,0.177,4.75,7.86,3.44,1.5,0.394,152,244,35,236,88,3,159,36,18,1.8,13,124,56,0.4,1,4,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
51.1,2.7,15.48,12.83,nan,nan,0.199,4.07,7.42,3.79,1.8,0.6,76,222,42,321,239,5,262,72,25,5.2,19,142,79,1,4,13,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
52.74,2.514,13.84,13.27,nan,nan,0.204,4.24,8.06,3.31,1.46,0.359,208,362,30,321,129,6,344,109,23,4.6,19,91,91,2,7,27,1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
51.24,2.885,16.25,12.47,nan,nan,0.204,3.26,7.12,4,1.91,0.664,42,56,44,481,390,10,188,111,40,6.4,19,308,112,3,14,17,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.1,2.43,16.59,12.46,nan,nan,0.196,6.32,9.07,3.44,0.97,0.426,45,153,41,335,206,12,270,112,31,6.2,20,148,94,4,8,19,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
53.11,2.333,15.92,11.46,nan,nan,0.18,3.22,6.43,4.34,2.24,0.756,172,290,30,335,178,6,396,117,25,5.8,20,151,95,2,10,23,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.14,2.101,15.96,11.78,nan,nan,0.182,7.93,10.25,2.9,0.53,0.246,40,135,41,348,193,9,267,119,33,6.5,20,155,99,2,10,26,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.36,1.955,17.52,11.8,nan,nan,0.169,6.57,9.3,3.3,0.72,0.3,60,158,41,320,241,9,318,123,30,8.1,19,128,102,3,14,28,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
52.98,1.784,16.42,10.1,nan,nan,0.159,4.63,7.88,3.58,1.99,0.492,168,315,31,353,183,7,371,124,27,9.1,21,154,96,2,11,24,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.35,2.26,15.26,13.06,nan,nan,0.199,7.43,9.32,3.12,0.7,0.306,40,83,38,321,237,13,321,125,31,7.7,18,130,94,1,13,25,1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.15,2.634,16.5,13.39,nan,nan,0.194,5.73,8.55,3.38,1.05,0.425,43,105,36,314,236,10,291,125,33,7.3,19,125,96,3,13,23,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
51.68,2.089,16.05,11.23,nan,nan,0.19,4.78,8.11,3.59,1.79,0.494,101,169,23,270,238,7,523,127,24,9.4,24,173,81,2,15,28,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.32,2.094,18.98,10.71,nan,nan,0.155,4.47,9.45,3.53,0.92,0.381,137,135,27,267,273,27,611,129,27,8.5,20,88,101,3,9,31,1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.45,3.238,14.53,14.11,nan,nan,0.229,4.3,7.88,3.83,1.76,0.685,120,127,30,285,238,58,370,133,30,8.1,23,94,99,4,13,28,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.46,1.814,14.69,10.69,nan,nan,0.175,9.68,10.17,2.53,0.59,0.211,116,131,32,317,221,5,408,141,32,9,21,82,104,3,12,28,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.47,1.837,15.97,11.11,nan,nan,0.173,8.69,10.51,2.56,0.48,0.193,32,85,40,368,259,15,236,150,40,9.2,20,163,107,3,18,30,1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
52.31,2.633,15.71,11.66,nan,nan,0.183,3.83,7.13,3.75,2.13,0.653,114,191,27,332,268,12,440,154,28,9.2,23,137,97,3,14,30,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
50.11,1.991,16.4,11.41,nan,nan,0.187,6.03,8.82,3.41,1.24,0.401,14,9,34,320,641,47,328,156,32,10.1,20,20,114,8,22,42,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
50.42,2.408,14.72,11.58,nan,nan,0.19,6.33,10.33,2.91,0.82,0.29,21,17,36,361,577,38,318,161,35,10.5,23,35,124,9,21,47,3,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
50.32,2.804,15.17,12.36,nan,nan,0.195,5.12,9.2,3.26,1.19,0.386,15,18,36,383,539,37,315,161,34,9.9,21,20,127,9,23,49,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
51.19,2.636,15.6,11.88,nan,nan,0.195,4.45,8.03,3.24,2.17,0.598,24,35,41,420,399,19,200,161,39,10.5,20,225,107,2,13,31,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.43,2.222,16.47,11.12,nan,nan,0.177,6.35,10.01,3.08,0.83,0.313,63,114,28,266,308,19,399,161,33,11.3,22,93,102,4,15,35,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
50.64,2.637,15.28,12.19,nan,nan,0.196,5.34,8.18,3.5,1.52,0.524,21,21,37,382,606,31,329,165,36,10.5,22,24,133,7,20,55,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.39,2.002,16.04,11.5,nan,nan,0.181,8.08,10.13,2.91,0.51,0.251,46,96,31,274,343,21,356,165,33,11.8,21,100,103,4,14,44,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.43,2.822,14.87,13.07,nan,nan,0.213,5.36,8.93,3.47,1.3,0.532,47,80,26,256,340,25,375,167,32,12,22,68,111,4,18,40,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
50.6,1.959,16.12,10.28,nan,nan,0.167,6.75,10.35,2.85,0.69,0.232,14,9,35,370,586,31,320,173,35,10.5,20,37,131,8,23,43,5,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
50.01,2.971,14.65,13.34,nan,nan,0.209,4.86,8.25,3.47,1.66,0.582,18,13,33,332,594,38,310,176,32,12.1,22,39,122,11,20,46,4,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.38,1.911,16.25,10.96,nan,nan,0.176,7.16,10.21,3.08,0.56,0.305,154,93,24,236,281,17,379,176,33,12.5,21,155,117,5,15,40,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.61,1.974,17.93,10.17,nan,nan,0.158,5.88,10.38,3,0.62,0.282,48,111,36,345,422,27,337,176,33,12.5,21,85,120,6,19,39,3,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
50.73,2.741,14.87,12.5,nan,nan,0.196,5.18,8.95,3.07,1.37,0.393,15,12,31,334,701,47,346,184,35,12,22,13,125,11,27,54,4,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.89,2.969,14.68,13.42,nan,nan,0.211,4.91,8.28,3.37,1.69,0.572,19,16,34,367,577,35,310,187,35,11.9,22,39,122,9,23,50,3,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.35,2.09,17.14,12,nan,nan,0.186,5.82,8.39,3.51,1.13,0.383,90,123,30,269,396,18,374,187,38,12.9,22,127,118,3,22,43,1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.81,2.112,16.33,11.5,nan,nan,0.187,6,9.25,3.3,1.12,0.379,31,34,33,341,814,51,349,188,35,12.2,22,76,124,8,24,44,4,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.5,1.951,16.69,11.59,nan,nan,0.188,7.52,9.75,2.77,0.72,0.296,28,52,39,404,320,20,249,188,45,11.6,22,169,121,4,17,35,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.71,1.86,15.26,10.41,nan,nan,0.171,8.66,10.43,2.61,0.68,0.209,26,13,37,380,547,32,311,189,37,12,21,91,129,8,21,49,3,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.46,2.737,15.53,13.38,nan,nan,0.198,6.18,8.58,3.12,1.36,0.464,63,80,26,252,395,17,427,189,34,13.2,21,107,112,5,21,45,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.54,2.14,19.24,10.48,nan,nan,0.163,3.96,9.28,3.71,1.06,0.412,29,19,38,426,506,14,314,189,43,10.7,20,121,132,8,18,46,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.46,1.903,15.87,12.6,nan,nan,0.176,7.99,9.01,3.07,0.64,0.286,23,52,32,298,410,22,345,190,38,13.4,24,65,117,4,19,42,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.39,1.814,14.74,10.46,nan,nan,0.172,9.82,10.29,2.57,0.55,0.207,146,103,27,259,307,20,368,192,36,13.7,23,177,124,3,18,39,1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.59,2.577,16.28,13.17,nan,nan,0.196,5.91,8.36,3.43,1.07,0.425,45,78,34,342,374,24,302,194,41,12.8,22,106,122,6,21,47,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.92,2.076,17.27,11.38,nan,nan,0.171,6.11,9.89,3.22,0.67,0.294,83,120,29,267,407,25,370,195,37,12.2,22,118,116,3,22,44,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.57,3.005,15.07,13.41,nan,nan,0.213,5.63,8.76,3.52,1.26,0.563,21,32,39,409,360,25,246,197,46,12.4,21,168,124,5,15,42,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
52.62,2.395,15.35,11.98,nan,nan,0.187,4.2,7.01,3.56,2.21,0.49,74,138,33,387,321,21,373,197,34,12.6,24,172,112,3,17,43,0.1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.02,1.676,14.17,11.35,nan,nan,0.184,10.45,9.99,2.46,0.48,0.217,103,110,29,258,354,22,368,199,35,14.2,24,151,115,3,20,48,1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.91,2.755,14.73,12.7,nan,nan,0.202,5.68,9.33,3.18,1.1,0.395,13,9,32,355,695,53,309,203,36,11.9,22,16,131,10,20,56,5,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.86,1.997,17.13,12.19,nan,nan,0.185,6.11,8.66,3.62,0.9,0.349,45,105,37,380,391,23,320,210,45,14.6,23,133,129,4,23,46,1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
48.64,1.644,16.66,10.66,nan,nan,0.168,8.29,10.43,2.69,0.6,0.211,35,55,39,400,391,24,250,211,46,15.5,22,131,132,4,18,45,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.54,2.531,15.59,12.46,nan,nan,0.197,5.46,9.06,3.4,1.29,0.461,27,20,38,410,515,27,287,212,46,13.4,22,79,138,7,21,48,1,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.19,2.795,15.3,13.24,nan,nan,0.204,5.34,8.71,3.37,1.33,0.514,72,76,29,264,429,26,381,213,39,14.9,21,112,123,5,21,45,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.08,2.006,16.14,11.44,nan,nan,0.17,7.63,9.8,2.92,0.58,0.237,89,108,30,286,429,26,345,214,41,14.7,22,128,123,5,24,48,2,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
49.89,2.166,15.95,11.59,nan,nan,0.184,5.83,9.55,3.13,1.28,0.413,21,14,33,371,670,41,300,217,42,13.9,22,41,144,10,25,57,4,nan,Steens,Undifferentiated,47,WolffGRData,0,nan
