Sample ID,Original sample ID,Collector,time/date,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO*,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Ga,Cu,Zn,Pb,La,Ce,Th,Nd,U,Hf,Co,Na2O (N),Ba,Cs,Li,Sm,Eu,Gd,Tb,Dy,Yb,Lu,Ta,Isotopes,Dip,Strike,Width,Paleomag,Mineralogy,Photo ID,Photo description,Formation,FormationID
21-WA-000,WT142,BT/MM,,,,51.1,2.2,13.3,13.6,,,0.2,4.4,8.6,3.1,0.9,0.3,22.3,15.7,40.1,421.5,338.8,18.4,266.7,168.4,42.3,11.1,20.4,201.1,126.4,4.7,15,37,2.7,23.6,,,,,,,,,,,,,,,,,,,,,,,,Imnaha,2
21-WA-001,WT139,BT/MM,,,,51.6,1.5,15.6,11.1,,,0.2,5.5,10.3,2.9,0.7,0.2,46.4,128,38.8,313,258.7,12.6,265.2,120.4,32.1,7.3,18.4,125,94.4,2.5,12.8,27.1,2.6,15,,,,,,,,,,,,,,,,,,,,,,,,Imnaha,2
21-WA-002,WT141,BT/MM,,,,51.7,1.5,15.5,10.4,,,0.2,5,10,2.8,0.8,0.2,38.7,88.3,36.6,305,331.8,18.2,313.9,130.5,31.5,8.6,18.7,126.4,97.1,4.2,14.2,32.7,3.2,18.5,,,,,,,,,,,,,,,,,,,,,,,,Imnaha,2
21-WA-003,WT140,BT/MM,,,,52.2,1.9,15.6,10.8,,,0.2,4.7,9.1,2.9,1.2,0.3,45.6,60.4,29.7,285,414.9,26.6,354.4,170.1,34.2,11.8,19.6,93.4,109,6.8,18.7,46.1,3.3,26.5,,,,,,,,,,,,,,,,,,,,,,,,Imnaha,2
21-WA-004,WT96,BT/MM,,,,53.5,2.3,13.3,12.3,,,0.4,3.5,7.3,2.9,1.8,0.4,34.9,26.8,34.2,405.5,872.4,41.2,334.9,183.9,40.2,12.6,22.2,31.5,139.7,8.9,22.2,54.6,6.4,29.9,,,,,,,,,,,,,,,,,,,,,,,,GRB,3
21-WA-005,WT73,BT/MM,,,,54.1,2,13.6,12.7,,,0.2,3.9,7.3,3.2,1.4,0.3,8.1,8.2,35.1,375.9,544,37,309,168.1,34.7,12.3,20,14.2,125.7,9.1,20.1,46.6,5.4,25.7,,,,,,,,,,,,,,,,,,,,,,,,GRB,3
21-WA-006,WT930,BT/MM,,,,54.2,2,13.3,12,,,0.2,3.2,6.7,2.8,1.9,0.3,10.2,6.9,30.3,338.8,711.9,56.6,317.6,176.5,35.3,11.2,20.2,19.4,123.1,9.1,24.2,53.2,6.3,25.1,,,,,,,,,,,,,,,,,,,,,,,,GRB,3
21-WA-007,WT929,BT/MM,,,,54.3,2,13.4,11.5,,,0.2,3.3,6.9,3,2.1,0.3,13.2,8.7,32.1,353.2,702.6,48.3,312.5,177.7,35.8,12.6,22,21.7,126.2,9.9,23.4,58.9,7.3,29.2,,,,,,,,,,,,,,,,,,,,,,,,GRB,3
21-WA-008,WT950,BT/MM,,,,54.7,2,13.5,12.2,,,0.2,3.7,6.7,3.2,1.6,0.4,16.8,13.8,32.5,355,657.4,40.9,307.5,175.4,36.1,12,21.2,24,126.4,9.7,24.2,53.2,5.9,27.6,,,,,,,,,,,,,,,,,,,,,,,,GRB,3
21-WA-009,WT934,BT/MM,,,,54.7,2.1,13,12.2,,,0.2,2.9,6.3,3.3,1.7,0.5,6.9,10.8,30.3,266.8,672.5,49.1,307.5,190.4,42.1,12.9,21.4,11.2,134.6,9.7,28.2,57.4,6,30,,,,,,,,,,,,,,,,,,,,,,,,GRB,3
