Sample,Lat.,Long.,Coll. Date,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,V,Cr,Co,Ni,Cu,Zn,Li,Rb,Cs,Sr,Ba,Ba,Y,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Yb,Lu,Zr,Hf,Nb,Ta,Th,U
AM-01,44.425426,-117.623085,29-May-94,54.80,2.17,13.60,12.80,0.18,3.87,6.85,3.59,1.61,0.51,32.40,,5.10,36.50,,,,,42.00,0.92,298.00,690.00,550.00,,24.00,50.10,28.30,7.23,2.03,,1.23,,3.96,0.57,,5.42,,0.84,3.62,1.70
AM-02,44.420803,-117.618705,29-May-94,52.80,2.24,13.70,13.70,0.21,4.14,7.61,3.60,1.60,0.44,35.00,,14.30,39.90,,,,,30.00,1.09,338.00,680.00,545.00,,20.80,44.70,21.60,6.26,2.09,,1.00,,3.79,0.53,,4.73,,0.71,6.83,1.30
AM-03,44.421302,-117.620084,29-May-94,54.30,2.13,13.50,13.20,0.19,3.62,7.11,3.69,1.92,0.43,33.90,,9.60,38.70,,,,,44.00,1.12,299.00,472.00,595.00,,22.60,51.30,27.50,6.94,2.20,,1.14,,4.24,0.58,,5.46,,0.82,8.53,1.60
AM-04,44.434992,-117.638971,29-May-94,52.90,2.43,13.50,13.30,0.21,3.95,8.05,3.40,1.80,0.49,35.60,,3.80,44.10,,,,,31.00,0.59,314.00,459.00,555.00,,20.30,46.00,23.90,6.06,1.81,,0.93,,3.56,0.49,,4.57,,0.69,6.96,1.40
AM-05,44.4335,-117.628326,29-May-94,52.70,2.25,13.70,13.60,0.20,4.17,8.11,3.01,1.81,0.51,36.70,,16.80,43.00,,,,,33.00,3.50,367.00,455.00,535.00,,19.70,45.70,23.50,6.31,1.83,,1.03,,4.00,0.55,,4.73,,0.70,2.21,1.10
AM-06,44.434907,-117.627467,29-May-94,56.10,2.29,13.90,12.30,0.16,2.90,6.43,3.38,2.06,0.54,28.00,,,32.40,,,,,53.00,0.88,303.00,865.00,780.00,,31.80,68.50,36.00,8.34,2.05,,1.32,,4.53,0.64,,6.48,,0.99,10.70,2.10
AM-07,44.437793,-117.626957,29-May-94,55.50,2.26,13.80,12.70,0.18,2.99,6.54,3.21,2.27,0.59,28.60,,2.00,30.60,,,,,58.00,2.51,298.00,888.00,785.00,,29.70,66.00,37.90,7.89,2.31,,1.34,,4.35,0.61,,6.32,,1.13,10.20,1.90
AM-08,44.418499,-117.63607,30-May-94,52.20,2.44,13.30,14.50,0.22,3.96,8.12,2.92,1.86,0.49,37.50,,6.10,45.00,,,,,51.00,3.38,338.00,473.00,560.00,,19.90,45.10,24.20,6.05,2.07,,1.07,,3.62,0.52,,4.80,,0.82,2.84,1.60
AM-09,44.424031,-117.638669,30-May-94,53.00,2.17,13.80,12.80,0.20,4.12,8.15,3.56,1.71,0.51,35.70,,25.50,40.00,,,,,33.00,0.75,342.00,433.00,490.00,,20.40,47.20,25.50,6.38,2.01,,1.03,,3.69,0.50,,5.03,,0.77,2.23,1.40
AM-10,44.416869,-117.640675,30-May-94,52.90,2.03,14.00,12.40,0.21,4.28,8.69,3.22,1.74,0.48,35.10,,32.40,38.80,,,,,35.00,1.53,357.00,427.00,490.00,,19.10,42.60,23.00,5.89,1.81,,0.88,,3.43,0.49,,4.48,,0.75,3.41,1.40
AM-11,44.411237,-117.641446,30-May-94,53.30,2.18,13.90,13.00,0.21,4.20,8.04,3.29,1.38,0.52,35.20,,26.10,39.80,,,,,44.00,1.47,366.00,618.00,535.00,,20.90,46.90,25.50,6.55,2.08,,1.14,,3.79,0.52,,5.03,,0.76,2.30,1.50
BH-01,44.260651,-117.617496,27-Aug-90,53.70,2.20,13.70,13.20,0.21,4.17,7.55,3.39,1.53,0.37,35.60,,14.30,38.40,,,,,24.00,0.65,446.00,528.00,577.00,,20.40,46.00,27.60,6.47,2.00,,1.12,,4.07,0.56,,5.04,,0.68,2.92,1.60
BH-02,44.261784,-117.618415,27-Aug-90,52.20,1.76,14.80,10.90,0.18,5.61,9.99,3.19,1.10,0.24,38.40,,156.00,41.70,,,,,16.00,1.77,559.00,400.00,397.00,,12.50,28.10,17.40,4.70,1.66,,0.80,,3.36,0.40,,3.44,,0.36,1.73,1.20
BH-03,44.264032,-117.619181,27-Aug-90,55.30,2.32,13.30,12.90,0.21,3.52,6.84,3.35,1.83,0.42,33.40,,4.70,36.00,,,,,35.00,1.76,447.00,693.00,721.00,,24.50,53.30,31.60,7.55,2.25,,1.20,,4.81,0.65,,5.98,,0.83,4.92,2.10
BH-04,44.265539,-117.619815,27-Aug-90,55.20,2.22,13.50,12.60,0.20,3.69,7.07,3.49,1.66,0.38,32.40,,5.40,36.10,,,,,35.00,1.07,421.00,675.00,688.00,,23.40,48.80,30.80,7.12,2.11,,1.07,,4.45,0.56,,5.62,,0.89,4.50,2.10
BH-05,44.276191,-117.617659,27-Aug-90,52.20,1.79,15.00,11.00,0.17,5.35,10.09,3.29,0.83,0.27,38.40,,150.00,41.30,,,,,10.00,3.47,580.00,448.00,435.00,,12.60,28.30,16.80,4.80,1.62,,0.72,,3.06,0.40,,3.51,,0.38,1.53,1.30
BH-06,44.25478,-117.605459,27-Aug-90,54.80,2.16,13.50,12.90,0.22,3.74,7.70,3.04,1.63,0.35,32.70,,8.30,35.40,,,,,36.00,14.18,477.00,615.00,632.00,,22.60,46.80,26.70,6.83,1.93,,0.94,,4.89,0.56,,4.99,,0.75,4.25,1.60
