SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,Cr,Rb,Sr,Ba,La,Ce,Th,Formation,FormationID
48.78,0.741,18.09,8.53,0.148,9.05,12.36,2.07,0.16,0.084,35,238,3,160,80,2,1,0.1,PictureGorge,5
48.96,0.77,17.58,8.89,0.153,8.91,12.23,2.17,0.24,0.089,36,242,4,173,103,3,1,0.1,PictureGorge,5
48.47,0.726,18.05,8.55,0.152,9.35,12.44,2.03,0.14,0.082,33,236,3,171,72,2,3,0.1,PictureGorge,5
48.82,0.747,18.17,8.62,0.151,8.81,12.32,2.08,0.21,0.084,35,244,3,159,88,1,4,0.1,PictureGorge,5
49.51,0.951,17.42,9.65,0.186,8.03,11.04,2.63,0.24,0.174,41,143,4,326,223,0.1,5,0.1,Wanapum,1
49.51,0.952,17.42,9.66,0.186,8.03,11.04,2.62,0.24,0.174,41,143,4,326,223,0.1,5,0.1,Wanapum,1
49.47,1.347,17.44,10.22,0.178,6.86,11.24,2.59,0.42,0.235,36,193,7,204,222,10,9,0.1,PictureGorge,5
49.29,1.631,16.01,11.05,0.192,7.61,10.65,2.89,0.44,0.24,42,222,5,262,239,4,13,0.1,PictureGorge,5
49.42,1.727,15.81,11.28,0.196,7.03,10.91,2.96,0.41,0.249,41,204,3,276,267,4,13,0.1,PictureGorge,5
50.41,1.175,16.91,9.75,0.179,6.55,11.72,2.73,0.43,0.144,40,188,6,232,197,10,13,0.1,PictureGorge,5
51.72,1.451,15.35,11.33,0.217,5.72,9.79,3.15,0.73,0.33,38,96,5,342,434,0.1,14,0.1,Wanapum,1
50.23,0.906,17.59,8.92,0.167,7.06,12.18,2.47,0.35,0.112,40,185,3,185,159,2,14,0.1,PictureGorge,5
50,1.412,16.06,9.38,0.151,8.29,11.32,2.58,0.45,0.164,32,282,8,247,193,9,17,0.1,SaddleMountains,0
48.64,1.644,16.66,10.66,0.168,8.29,10.43,2.69,0.6,0.211,28,358,7,402,160,10,17,0.1,Steens,4
50.97,2.013,14.57,13.13,0.211,5.23,9.89,3.05,0.65,0.295,44,56,10,188,390,14,17,0.1,PictureGorge,5
50.93,1.479,15.38,11.36,0.209,6.36,10.46,3.04,0.56,0.207,43,125,7,208,265,9,18,0.1,PictureGorge,5
51.21,1.627,15.14,11.77,0.2,5.88,10.67,2.82,0.48,0.196,41,153,12,270,206,8,19,0.1,Imnaha,3
49.02,1.676,14.17,11.35,0.184,10.45,9.99,2.46,0.48,0.217,31,640,8,344,191,10,19,0.1,Steens,4
51,1.367,15.15,11.82,0.22,6.51,10.6,2.45,0.46,0.259,41,87,9,376,327,3,20,0.1,Wanapum,1
51.83,1.55,15.16,11.04,0.186,5.72,10.39,3.16,0.74,0.226,45,91,10,227,301,13,20,0.1,PictureGorge,5
53.94,1.092,15.33,9.12,0.174,6.16,10.22,2.85,0.66,0.251,46,106,11,392,477,20,20,0.1,GrandeRonde,2
49.9,1.45,16.51,9.49,0.148,7.79,11.64,2.25,0.44,0.175,30,293,8,250,191,6,21,0.1,SaddleMountains,0
50.64,1.388,16.16,9.39,0.16,7.94,11.23,2.23,0.49,0.169,36,294,9,245,203,0.1,22,0.1,SaddleMountains,0
50.64,1.389,16.15,9.39,0.16,7.94,11.23,2.23,0.49,0.169,36,294,9,245,203,0.1,22,0.1,SaddleMountains,0
50.64,1.389,16.15,9.39,0.16,7.94,11.23,2.23,0.49,0.169,36,294,9,245,203,0.1,22,0.1,SaddleMountains,0
50.28,2.105,15.65,11.61,0.172,6.51,9.49,3.04,0.66,0.28,29,125,16,376,212,2,22,0.1,Imnaha,3
51.45,1.636,14.88,11.69,0.201,5.86,10.36,3.16,0.52,0.229,47,122,6,217,292,10,22,0.1,PictureGorge,5
52.6,2.07,13.85,13.78,0.227,4.34,8.5,3.3,0.98,0.366,43,29,16,199,465,11,22,0.1,PictureGorge,5
51.59,1.686,14.58,11.28,0.179,6.33,10.98,2.54,0.46,0.199,37,68,7,238,278,22,22,0.1,SaddleMountains,0
54.75,1.187,14.86,9.56,0.163,5.73,9.45,2.96,0.86,0.28,43,87,19,376,414,7,23,0.1,GrandeRonde,2
48.39,2.002,16.04,11.5,0.181,8.08,10.13,2.91,0.51,0.251,30,290,6,396,178,10,23,0.1,Steens,4
52.75,1.891,14.15,12.85,0.212,4.83,9.17,2.98,0.86,0.323,43,31,16,201,391,10,23,0.1,PictureGorge,5
51.36,1.571,16.23,10.99,0.189,5.27,10.92,2.8,0.45,0.214,36,105,10,291,236,13,23,0.1,Imnaha,3
49.36,0.956,17.09,10.25,0.182,7.94,11.11,2.53,0.24,0.174,37,145,4,333,129,8,24,0.1,Wanapum,1
49.71,1.86,15.26,10.41,0.171,8.66,10.43,2.61,0.68,0.209,30,411,13,301,167,11,24,0.1,Steens,4
48.14,2.101,15.96,11.78,0.182,7.93,10.25,2.9,0.53,0.246,31,315,7,371,183,11,24,0.1,Steens,4
50.24,1.393,16.48,9.03,0.156,8.06,11.59,2.24,0.4,0.176,34,316,6,249,461,14,24,0.1,SaddleMountains,0
49.08,2.006,16.14,11.44,0.17,7.63,9.8,2.92,0.58,0.237,28,181,9,378,182,9,25,0.1,Steens,4
49.87,1.407,16.42,9.21,0.16,8.19,11.68,2.28,0.4,0.167,33,303,8,252,224,9,25,0.1,SaddleMountains,0
48.36,1.955,17.52,11.8,0.169,6.57,9.3,3.3,0.72,0.3,24,46,8,590,306,14,25,0.1,Steens,4
51.26,1.718,14.75,12.15,0.199,5.88,10.6,2.75,0.48,0.207,41,135,9,267,193,10,26,0.1,Imnaha,3
48.46,1.903,15.87,12.6,0.176,7.99,9.01,3.07,0.64,0.286,26,192,9,451,238,10,26,0.1,Steens,4
53.36,1.501,15.3,10.41,0.187,5.5,9.36,3.18,0.95,0.247,41,43,13,294,489,10,26,0.1,PictureGorge,5
49.46,1.814,14.69,10.69,0.175,9.68,10.17,2.53,0.59,0.211,29,516,11,302,169,12,26,0.1,Steens,4
48.35,2.26,15.26,13.06,0.199,7.43,9.32,3.12,0.7,0.306,32,147,9,438,253,15,26,0.1,Steens,4
49.17,1.817,14.73,11.22,0.18,9.47,10.09,2.5,0.59,0.228,29,663,9,337,230,10,27,0.1,PictureGorge,5
50.33,1.471,16.04,10.07,0.154,7.52,11.08,2.41,0.46,0.189,35,255,8,275,833,13,27,0.1,SaddleMountains,0
50.33,1.471,16.04,10.07,0.153,7.52,11.08,2.41,0.46,0.188,35,255,8,275,833,13,27,0.1,SaddleMountains,0
50.15,1.471,16.43,9.7,0.166,7.59,11.4,2.27,0.43,0.185,34,295,9,257,220,17,27,0.1,SaddleMountains,0
54.56,2.068,14.4,11.19,0.197,4.45,8.2,3.18,1.21,0.314,37,25,27,337,528,22,27,0.1,GrandeRonde,2
49.22,0.954,17.61,9.84,0.186,7.83,11.13,2.67,0.21,0.179,40,153,2,326,131,0.1,28,0.1,Wanapum,1
49.22,0.955,17.61,9.85,0.185,7.83,11.13,2.67,0.21,0.178,40,153,2,326,131,0.1,28,0.1,Wanapum,1
50.74,1.406,15.92,9.77,0.148,7.63,11.15,2.41,0.45,0.182,34,271,8,251,288,0.1,28,0.1,SaddleMountains,0
50.73,1.406,15.92,9.77,0.148,7.63,11.15,2.4,0.45,0.182,34,271,8,251,288,0.1,28,0.1,SaddleMountains,0
53.93,1.522,16.62,7.13,0.138,4.51,11.44,3.39,0.72,0.361,47,185,11,424,320,0.1,28,0.1,Wanapum,1
51.09,1.398,15.32,11.2,0.213,6.26,10.3,3.17,0.5,0.325,47,168,6,392,354,9,28,0.1,Wanapum,1
50.63,1.382,16.51,8.72,0.148,7.74,11.75,2.33,0.42,0.179,35,295,8,251,147,11,28,0.1,SaddleMountains,0
50.63,1.382,16.51,8.73,0.148,7.74,11.75,2.33,0.42,0.179,35,295,8,251,147,11,28,0.1,SaddleMountains,0
53,1.337,15.52,9.81,0.145,5.44,10.23,3.28,0.71,0.312,45,169,14,388,309,11,28,0.1,Wanapum,1
49.56,2.218,16.78,11.43,0.17,5.77,10.59,2.82,0.41,0.254,32,131,5,408,221,12,28,0.1,Imnaha,3
49.38,1.911,16.25,10.96,0.176,7.16,10.21,3.08,0.56,0.305,26,98,8,492,260,12,28,0.1,Steens,4
48.5,1.951,16.69,11.59,0.188,7.52,9.75,2.77,0.72,0.296,32,141,12,567,294,12,28,0.1,Steens,4
49.07,1.976,16.67,11.32,0.182,6.77,9.52,2,2.23,0.247,30,127,58,370,238,13,28,0.1,Imnaha,3
50.72,1.706,15.09,11.9,0.203,6.39,10.54,2.86,0.35,0.239,41,158,9,318,241,14,28,0.1,Imnaha,3
49.71,1.8,19.64,9.45,0.147,4.43,10.84,3.17,0.56,0.251,23,169,7,523,238,15,28,0.1,PictureGorge,5
50.28,1.427,16.19,9.85,0.154,7.69,11.37,2.19,0.5,0.166,34,282,10,246,207,19,28,0.1,SaddleMountains,0
52.01,1.388,14.99,10.51,0.176,6.44,10.54,2.94,0.47,0.329,41,165,1,386,310,20,28,0.1,Wanapum,1
52.37,1.85,15.14,10.43,0.167,5.79,10.78,2.61,0.46,0.232,41,72,10,243,245,15,29,0.1,SaddleMountains,0
50.98,1.501,16.89,8.56,0.178,6.84,11.99,2.32,0.33,0.191,35,308,6,267,229,16,29,0.1,SaddleMountains,0
