Trend,Volcano,SIO2(WT%),TIO2(WT%),AL2O3(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),PB206_PB204,PB207_PB204,PB208_PB204
0,0,49.93,1.74,11.46,9.02,13.67,0.17,0.27,1.86,0.16,18.24,15.46,38.01
0,0,46.01,1.08,7.37,5.69,25.8,0.17,0.19,1.19,0.1,18.20,15.45,37.95
0,0,49.7,1.67,11.09,8.71,14.93,0.18,0.26,1.71,0.15,18.23,15.46,38.01
0,0,46.3,1.15,6.99,5.86,26.33,0.16,0.22,1.19,0.12,18.08,15.45,37.84
0,0,46.42,1.18,7.15,5.96,25.91,0.16,0.23,1.22,0.12,18.09,15.45,37.84
0,0,46.68,1.22,7.39,6.15,25.2,0.16,0.21,1.23,0.12,18.13,15.47,37.90
0,0,46.9,1.26,7.69,6.39,24.25,0.16,0.22,1.29,0.13,18.09,15.45,37.84
0,0,46.76,1.33,8.1,6.09,23.19,0.17,0.19,1.17,0.14,,,
0,0,47.38,1.37,8.17,6.74,22.94,0.16,0.29,1.32,0.12,18.16,15.45,37.93
0,0,47.64,1.47,8.78,7.22,20.57,0.17,0.33,1.4,0.13,18.26,15.48,38.08
0,0,47.98,1.5,9.07,7.44,20.01,0.15,0.28,1.53,0.14,18.33,15.50,38.17
0,0,48.73,1.59,9.3,7.72,19.56,0.15,0.29,1.65,0.14,18.23,15.46,37.99
0,0,49.48,1.58,9.9,8.01,17.95,0.17,0.25,1.7,0.15,18.18,15.46,37.95
0,0,49.61,1.75,9.93,8.26,17.57,0.16,0.31,1.71,0.16,18.24,15.46,37.98
0,0,49.16,1.7,11.01,8.88,14.91,0.17,0.25,1.64,0.17,,,
0,0,49.98,1.76,11.32,9.2,13.63,0.17,0.26,1.68,0.18,,,
0,0,50.04,1.87,11.35,9.24,13.34,0.16,0.32,1.9,0.17,18.17,15.46,37.95
0,0,49.4,1.83,12,9.55,12.4,0.17,0.37,1.93,0.21,18.20,15.45,37.98
0,0,50.18,1.87,12.15,9.84,11.3,0.17,0.29,1.85,0.18,,,
0,0,50.21,1.86,12.18,9.76,11.23,0.17,0.3,1.92,0.17,,,
0,0,49.7,1.89,12.5,9.91,11.1,0.17,0.35,2.02,0.22,18.20,15.45,37.98
0,0,49.6,1.96,12.9,10.3,9.26,0.15,0.49,2.11,0.23,18.20,15.45,37.98
0,0,51.9,2.24,13.7,10.66,7.45,0.17,0.34,2.19,0.22,18.25,15.45,37.97
0,0,52.2,2.1,14.2,10.72,7.21,0.17,0.31,2.24,0.21,,,
0,0,52.4,2.16,14.4,10.83,6.92,0.17,0.32,2.2,0.22,18.16,15.45,37.92
