Sample,Attempt 2,Lat.,Long.,Formation Name Attempt 2,Guess from Scott Hughes,Orientation,SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr,Sc,Ba,Rb,Sr,Zr,La,Ce,Th
WA-001,2,45.224631,-117.430749,GR,Dike1,194,50.3,2.52,14,13.65,0.22,3.95,7.49,3.27,2.1,0.41,4.366,36.83,790,56.3,351,234,24.25,54.78,4.311
WA-002,2,45.218914,-117.434949,GR,Dike1 Margin,,52.72590909,2.489185185,13.9037594,13.535,0.220830189,3.972097429,7.428313253,3.384840183,1.971563981,0.41,5.093,37.12,678,45.91,334,227,24.26,55.31,4.135
WA-007,2,45.212247,-117.438681,GR,L. Chnc (not sure what that means?),,52.85935662,1.577462687,16.83181818,9.1035,0.154688064,4.496769776,9.27922734,3.00287037,1.042875907,0.219744,66.21,29.14,426.0652174,23.12,481.9381443,134.1103018,13.38,29.09,2.285
WA-008,2,45.212271,-117.438681,GR,L. Chnc margin (not sure what that means?),157,51.94451211,1.466231343,15.36818182,9.3725,0.164633267,6.085904582,10.14836795,2.552962963,1.202545969,0.212035583,177,35.42,395.0526316,16.89,392.6134021,125.039501,12.97,29.41,2.277
WA-015,2,45.219862,-117.449753,GR,GR,,54.0368432,1.971828358,13.8,12.38,0.20381982,4.263189227,8.015466667,3.274907407,1.242128122,0.343629358,20.51,36.41,658.962963,36.37,332.371134,177.3271028,20.48,45.72,3.485
WA-016,2,45.219909,-117.450055,GR,GR,,52.81051247,2.477425373,13.06818182,12.825,0.200592,3.310902647,7.254852071,1.893796296,1.873387695,0.413495122,6.788,33.61,973.8553846,63.79,413.3865979,202.7676349,23.15,51.6,4.72
WA-017,2,45.227157,-117.452537,GR,Sturgill?,,53.24,2.32,13.36,13.26,0.21,3.88,7.37,3.42,1.52,0.38,10.85,35.58,653,39.33,340,215,22.94,49.24,3.867
WA-019,2,45.227228,-117.452605,GR,Sturgill?,,53.34,2.28,13.94,12.43,0.2,4.3,7.84,3.05,1.23,0.3,13.2,34.45,574,22.56,356,181,19.23,41.32,3.417
WA-029,2,45.220582,-117.395429,GR,Imnaha?,340,51.9,2.2,13.97,11.715,0.19,5,8.91,2.93,0.82,0.32,72.55,34.9,501,63.88,343,192,19.37,43.36,3.61
WA-034,2,45.112109,-117.377335,GR,Imnaha,340,51.98,2.28,13.92,11.805,0.2,4.99,8.78,2.71,1.11,0.35,61.4,34.38,529,26.55,337,199,19.64,45.34,3.493
WA-039,2,45.133686,-117.414515,GR,GR,,54.54,2.02,13.42,12.595,0.21,3.81,7.31,3.12,1.53,0.4,11.06,35.04,706,39.45,317,198,21.94,46.6,4.005
WA-040,2,45.140581,-117.414921,GR,GR?,?,51.37575338,1.405559701,14.95,10.49,0.18427972,6.100472701,10.30546529,2.92962963,0.792738321,0.332578723,144,39.55,399.0920245,11.8,404.0386598,119.0860104,16.28,34.72,1.167
WA-044,2,45.133465,-117.436158,GR,None,,54.29,1.92,14.39,11.31,0.19,4.86,8.42,3.12,1.02,0.28,24.2,34.9,522,20.6,371,176,17.5,38.5,3.19
WA-047,2,45.142199,-117.435385,GR,None,290,51.90045455,1.856851852,14.42255639,12.1,0.198641509,5.615723951,9.591566265,2.817260274,1.038767773,0.29,99.6,41,439,23,381,141,16.3,33.2,2.24
WA-048,2,45.145735,-117.435791,GR,None,309,51.84478502,1.638134328,14.61790668,11.8,0.190321678,5.763489362,9.749778434,2.678518519,0.911835177,0.278113595,114,41.4,509.8079268,22,435.8626609,134.9470405,16.2,32.3,2.11
WA-049,2,45.146544,-117.434345,GR,Imnaha,309,52.3,2.17,14.28,12.025,0.19,4.94,8.87,2.64,1.04,0.343,72.96,35.86,504,18.86,351,191,19.11,42.72,3.54
WA-050,2,45.146556,-117.434365,GR,GR,282,51.04900763,1.446007463,15.32947103,10.36,0.18144,6.122425532,10.08798817,2.971481481,0.808586387,0.319706024,150,40.45,427.1398176,18.65,396.0874786,121.94375,14.99,32.53,1.053
WA-051,2,45.146506,-117.434341,GR,GR,,53.78954167,2.184179104,14.37283019,11.53,0.184648649,4.184170213,8.0256,3.21212963,1.441584158,0.366951351,28.55,32.41,624.2363636,36.56,369.848329,196.3949843,21.16,46.13,3.968
WA-052,2,45.106409,-117.395741,GR,None,172,52.68166782,1.931380597,14.25075377,11.4,0.197963928,4.502085106,8.352106825,2.783148148,1.481438849,0.283462275,6.72,34.6,450,35,298.109589,171.1194969,19.1,38,4.01
WA-053,2,45.110215,-117.401174,GR,None,,54.48947149,2.163955224,13.50564617,13.3,0.210294885,3.866255319,7.13473997,3.149351852,1.784115778,0.364760597,13.2,35.9,680,50,305.0940975,191.9873817,20.8,43.4,4.4
WA-054,2,45.110234,-117.401227,GR,None,,53.67464348,2.091870727,13.5924812,13.4,0.195129388,3.618416824,6.95179792,3.241017733,2.064149636,0.37,12.4,35.7,590,44,306.9,217,23.2,48,5.24
WA-055,2,45.110271,-117.401227,GR,None,,54.90621697,2.282459627,13.28120301,12.3,0.190893788,3.217128011,6.099169139,2.820647149,2.711634349,0.39,3.21,31.8,650,53,269.7,221,23.7,48.1,5.69
WA-056,2,45.110252,-117.401227,GR,None,,53.84563087,2.159925512,13.38496241,13.4,0.205837838,3.696926346,7.194666667,3.194272517,1.641536864,0.36,12.1,36.1,590,40,326.5333333,202,19.8,43.2,4.34
WA-057,2,45.109686,-117.403703,GR,None,,55.90920083,2.390583127,13.07368421,12.7,0.210672,2.8660689,6.981656805,2.993630769,1.684152249,0.52,3.83,31.8,540,43,338.9333333,212,25.3,52.3,5.19
