SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Ga,Cu,Zn,Pb,La,Ce,Th,Formation,FormationID,Member,MemberID,Polarity,Erupt Order
50.53,2.117,13.75,13.87,0.234,5.45,9.83,2.93,0.74,0.294,65,130,40,394,315,19,299,156,39,11,25,297,139,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
51.86,1.706,14.74,11.84,0.198,5.39,10.42,2.96,0.49,0.203,56,176,38,349,190,13,272,123,30,9,18,177,101,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
51.39,1.6,15.05,11.69,0.199,5.9,10.5,2.82,0.47,0.188,51,187,39,333,161,13,273,114,27,7.5,20,164,91,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
51.78,1.705,14.39,12.08,0.21,5.74,10.01,3.07,0.61,0.209,30,119,40,352,263,14,265,123,31,7,18,137,98,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
51.65,1.805,15.87,11.04,0.199,5.04,10.45,2.97,0.52,0.256,38,113,39,329,282,12,291,143,35,9,22,109,97,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
51.13,1.724,15.86,11.55,0.211,5.11,10.66,2.9,0.42,0.237,66,136,36,342,197,11,330,131,33,7,22,196,104,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
51.08,1.663,14.87,12.1,0.203,5.7,10.6,2.9,0.46,0.213,69,203,36,345,171,11,278,118,33,6,20,255,122,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
51.63,1.607,15.08,11.76,0.198,5.64,10.29,2.86,0.56,0.184,51,191,38,326,184,11,266,117,27,8.8,15,160,85,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
51.74,1.673,14.61,12.08,0.202,5.66,10.31,2.82,0.51,0.207,56,157,41,338,181,12,267,121,31,8.8,19,161,93,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
51.76,1.674,14.45,12.05,0.196,5.85,10.34,2.78,0.47,0.224,75,174,39,333,143,10,266,119,32,8.3,18,159,94,2,10,22,1,Imnaha,3,AmericanBar,0,0,4
51.6,1.692,14.5,12.07,0.196,5.81,10.42,2.81,0.5,0.208,71,165,45,345,162,10,267,120,34,7.7,19,158,92,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
51.8,1.553,15.85,11.07,0.185,5.27,10.55,2.85,0.47,0.221,102,146,38,304,201,12,284,125,32,8.6,16,132,91,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
52.07,1.656,15.37,11.44,0.197,5.16,10.3,2.79,0.61,0.234,37,99,39,333,203,15,267,133,35,10.4,19,133,92,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
51.84,1.741,14.31,11.96,0.198,5.69,10.27,3.08,0.5,0.208,43,149,46,356,176,13,262,124,33,8.8,22,156,98,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
52.05,1.648,15.82,10.94,0.183,5.16,10.15,3.09,0.54,0.229,49,99,37,304,205,14,316,131,32,9.5,22,119,93,4,16,36,2,Imnaha,3,AmericanBar,0,0,4
