Cluster_ID,Number,SiO2,TiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,SR87_SR86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,La,Ce,Nd,Sm,Gd,Yb,Lu,Ba,Hf,Nb,Rb,Sr,Ta,Th,Y,Zr
0,And1,50.75571895,1.582924837,15.11437908,9.426062092,8.843954248,9.354575163,3.053513072,1.868872549,0.70505,0.512613,18.906,15.621,38.815,49,85,44,7.9,5.9,2,0.3,609,4.1,31,39,911,2,8.3,25,185
0,And2,65.34493223,0.799109852,15.77989075,4.491199676,2.20513858,4.127048351,3.944972689,3.30770787,0.70905,0.512314,18.926,15.662,39.092,33,76,30,5.31,4.3,0.82,0.12,655,4,12,132,421,0.9,16.2,13,183
0,And3,64.28284452,0.873844918,15.97026918,4.881478505,2.480916031,4.339092005,4.037766171,3.13378867,0.70872,0.51233,18.982,15.696,39.143,37,87,33,5.71,4.5,0.79,0.11,798,5.6,11,113,525,0.8,14.1,12,236
0,And4,61.4213198,1.015228426,15.93908629,6.335025381,3.360406091,5.431472081,3.695431472,2.802030457,0.70853,0.512375,18.9,15.651,39.03,37,74,33,6.04,5.2,1.33,0.18,717,4.1,20,77,533,1.6,12,19,217
0,And5,59.80166283,1.131924271,15.92707603,6.631273164,4.137032956,5.779825704,4.086947811,2.504257237,0.70802,0.51237,18.917,15.632,38.991,39,84,38,6.67,5.3,0.96,0.14,664,5.4,14,78,607,1.5,11.2,15,233
0,And6,59.76824558,0.742020736,18.53018906,5.793860541,2.907094938,6.373246595,4.238666396,1.646676154,0.70571,0.51255,18.717,15.641,38.776,23,49,23,4.7,4,1.7,0.25,506,3.9,6.7,39,634,0.4,3.37,17,168
0,And7,50.40383236,2.009904885,17.03732846,10.09580894,6.717039643,8.862326722,3.884427576,0.98933142,0.70345,0.512931,18.486,15.571,38.146,14.5,35.1,28.4,5.09,6.18,3.1,0.43,170,4.9,10.2,16,373,0.86,1.8,32,240
0,And8,50.44931621,2.266216965,16.12340602,10.51561634,7.308029939,8.42034744,3.939890963,0.977176123,0.70364,0.512868,18.557,15.576,38.344,17.2,39.9,24.1,5.75,6.39,3.3,0.47,152,5.3,9,22,353,0.94,2.5,30,243
0,And9,55.79064198,2.060868041,16.72878089,8.985337929,3.511887377,7.255096676,3.722180034,1.94520708,0.70569,0.512723,18.597,15.621,38.353,19.6,48,28.4,6.95,7.7,4.39,0.66,415,6.2,9.4,63,277,0.64,5.9,44,251
0,And10,68.10116255,0.611870283,15.65368142,4.262696308,0.68325515,3.191923312,4.385070365,3.110340608,0.70715,0.512624,19.381,15.755,39.154,27.4,62.1,30.8,7.38,7.74,4.47,0.67,553,8,10.4,130,144,0.73,10.1,43,321
0,And11,53.6748101,1.272839253,17.40915623,8.211866147,5.47115582,9.453910901,3.531102443,0.975159105,0.70632,0.512765,18.513,15.606,38.126,13.9,34.8,20.1,4.68,4.93,2.63,0.4,206,4.1,7,24,293,0.44,2.6,25,176
0,And12,69.12137506,0.562711017,15.899144,3.725260609,0.992417611,3.130719474,3.795741585,2.772630646,0.70515,0.512792,18.651,15.597,38.518,18.9,42.4,18,3.7,3.18,2.14,0.28,368,4.7,6.4,86,171,0.68,6.7,16,178
0,And13,59.49131933,0.942376545,16.3243937,6.137269472,5.107072891,6.495305006,3.901236236,1.601026819,0.70435,0.512812,18.626,15.631,38.639,19.3,37.3,16,3.4,3.3,1.9,0.26,395,3.6,14,51,311,1,4.5,18,155
0,And14,59.98443193,0.954390082,15.95049807,6.073801654,5.513125684,6.325372562,3.837866498,1.360513521,0.70636,0.512852,18.558,15.612,38.496,18.2,35.5,15.2,3.4,3.4,1.7,0.24,392,3.2,8,36,312,0.8,3.7,18,135
0,And15,60.67439069,1.121676514,17.6664051,7.430529911,1.132062408,5.629154357,4.673652142,1.672128877,0.70494,0.51274,18.648,15.617,38.628,22.7,45.7,22.6,5.1,5.3,2.9,0.43,451,5.4,13,58,276,0.8,5.4,31,239
0,And16,56.2967581,0.872817955,18.7967581,11.91812136,3.335411471,5.673316708,2.722360765,0.384455528,0.70456,0.512616,18.553,15.579,38.385,8,17.7,10.9,2.97,3.57,2.41,0.38,94,2.6,2.8,13,62,0.21,1.7,65,406
0,And17,51.26373443,1.579806912,17.61784671,12.28072125,3.469575941,9.418848807,3.179611381,1.189854573,0.70355,0.512923,18.492,15.582,38.358,14.8,34.6,19.9,5.15,4.5,2.75,0.38,312,3.57,4.8,24,505,0.27,2.11,35.3,132
0,And18,53.64482873,1.72597273,15.09477885,13.58164283,3.372131693,7.891586299,3.581642833,1.107416029,0.70357,0.512927,18.459,15.581,38.334,15.9,38,23.9,5.89,5.56,3.69,0.57,327,4.39,4.6,10,398,0.34,2.15,35.4,124
0,And19,58.89328943,1.381719473,15.52932538,10.04805981,2.172703809,5.506852973,4.0250089,2.443040228,0.70373,0.512918,18.467,15.585,38.365,19.5,45.5,28,6.48,5.68,3.88,0.61,521,6.04,5.8,48,364,0.47,3.89,37.6,169
0,And20,54.16847084,1.328981114,17.41664724,10.65849515,3.27748726,7.594177797,3.697165506,1.858575092,0.70388,0.512862,18.541,15.61,38.478,17.2,39.3,23.1,5.64,5.05,3.08,0.48,458,4.87,4.5,38,502,0.35,4.45,29.1,135
